Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Mirae Asset NYSE FANG+ ETF FoF Dir Gr	Direct Plan	Global - Other			-0.62%	0.96%	-7.76%	-7.15%	-7.28%	31.35%	33.82%	47.94%		
DSP Wld Gld Mng Ovrs Eq Omni FoF Dir Gr	Direct Plan	Global - Other			3.89%	-20.89%	3.94%	24.36%	4.16%	111.94%	79.04%	47.18%	27.71%	17.93%
Mirae Asset S&P 500 Top50 ETF FoF Dir Gr	Direct Plan	Global - Other			1.24%	-3.42%	-6.24%	-0.46%	-4.86%	37.17%	29.71%	34.00%		
ICICI Pru Strat Mt & En EqFoF Dir Gr	Direct Plan	Global - Other			5.18%	1.44%	29.54%	43.43%	30.72%	81.72%	46.15%	32.90%		
SBI PSU Dir Gr	Direct Plan	Equity - Other			-0.68%	-11.83%	-1.92%	1.72%	-3.33%	10.45%	8.78%	31.15%	26.72%	15.70%
Motilal Oswal Nasdaq 100 Fd of Fd Dir Gr	Direct Plan	Global - Other			1.40%	2.81%	-0.10%	3.96%	-0.10%	27.22%	23.83%	29.86%	19.47%	
Motilal Oswal BSE Enh Val Idx Dir Gr	Direct Plan	Index Funds			-1.69%	-16.81%	-9.69%	-0.55%	-9.69%	11.30%	7.47%	29.83%		
Mirae Ast Glb X Art Int&Tch ETF FoF DrGr	Direct Plan	Global - Other			-6.95%	-7.28%	-8.28%	-3.37%	-7.36%	35.34%	22.22%	28.96%		
Kotak US Specific Equity Pasv FOF Dir Gr	Direct Plan	Global - Other			-3.26%	-3.23%	-4.45%	0.70%	-3.90%	28.64%	20.26%	28.58%	18.49%	
Invesco India PSU Equity Dir Gr	Direct Plan	Equity - Other			-1.69%	-12.17%	-7.79%	-5.18%	-9.18%	5.49%	5.74%	28.13%	24.40%	18.27%
Bandhan Small Cap Dir Gr	Direct Plan	Small-Cap	5.0		-2.45%	-9.27%	-12.28%	-11.31%	-12.28%	1.02%	10.16%	27.81%	22.01%	
Aditya BSL US Equity Pasv FOF Dir Gr	Direct Plan	Global - Other			-2.96%	-3.39%	-4.33%	0.57%	-3.89%	32.52%	20.03%	27.62%		
Aditya BSL PSU Equity Dir Gr	Direct Plan	Equity - Other			-2.57%	-12.73%	-4.62%	0.30%	-4.62%	7.96%	3.37%	27.59%	25.96%	
ICICI Pru NASDAQ 100 Index Dir Gr	Direct Plan	Global - Other			-4.34%	-4.28%	-5.06%	-0.85%	-4.23%	31.45%	19.56%	27.24%		
Axis NASDAQ 100 FoF Dir Gr	Direct Plan	Global - Other			-3.14%	-3.08%	-4.28%	0.87%	-3.74%	32.00%	19.95%	27.20%		
