schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	Oct24	5.55
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	Nov24	7.52
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	Dec24	3.56
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	Jan25	5.32
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	Feb25	5.59
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	Mar25	15.51
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	Mar25	15.51
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	Apr25	12.51
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	May25	11.15
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	June25	10.18
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	July25	9.19
Franklin Build India Dir Gr	INF090I01JF5	Larsen & Toubro Ltd	Industrials	284.51	8.96	0.00	Aug25	8.13
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	Oct24	5.55
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	Nov24	7.52
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	Dec24	3.56
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	Jan25	5.32
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	Feb25	5.59
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	Mar25	15.51
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	Mar25	15.51
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	Apr25	12.51
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	May25	11.15
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	June25	10.18
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	July25	9.19
Franklin Build India Dir Gr	INF090I01JF5	InterGlobe Aviation Ltd	Industrials	202.74	6.39	20.00	Aug25	8.13
Franklin Build India Dir Gr	INF090I01JF5	Oil & Natural Gas Corp Ltd	Energy	190.90	6.02	0.00	Oct24	5.55
Franklin Build India Dir Gr	INF090I01JF5	Oil & Natural Gas Corp Ltd	Energy	190.90	6.02	0.00	Nov24	7.52
Franklin Build India Dir Gr	INF090I01JF5	Oil & Natural Gas Corp Ltd	Energy	190.90	6.02	0.00	Dec24	3.56
Franklin Build India Dir Gr	INF090I01JF5	Oil & Natural Gas Corp Ltd	Energy	190.90	6.02	0.00	Jan25	5.32
Franklin Build India Dir Gr	INF090I01JF5	Oil & Natural Gas Corp Ltd	Energy	190.90	6.02	0.00	Feb25	5.59
Franklin Build India Dir Gr	INF090I01JF5	Oil & Natural Gas Corp Ltd	Energy	190.90	6.02	0.00	Mar25	15.51
Franklin Build India Dir Gr	INF090I01JF5	Oil & Natural Gas Corp Ltd	Energy	190.90	6.02	0.00	Mar25	15.51
