schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	Oct24	5.55
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	Nov24	7.52
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	Dec24	3.56
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	Jan25	5.32
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	Feb25	5.59
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	Mar25	15.51
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	Mar25	15.51
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	Apr25	12.51
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	May25	11.15
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	June25	10.18
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	July25	9.19
ICICI Pru MidCap Dir Gr	INF109K011N7	Jindal Steel Ltd	Basic Materials	346.69	4.76	0.00	Aug25	8.13
ICICI Pru MidCap Dir Gr	INF109K011N7	APL Apollo Tubes Ltd	Basic Materials	318.47	4.37	0.00	Oct24	5.55
ICICI Pru MidCap Dir Gr	INF109K011N7	APL Apollo Tubes Ltd	Basic Materials	318.47	4.37	0.00	Nov24	7.52
ICICI Pru MidCap Dir Gr	INF109K011N7	APL Apollo Tubes Ltd	Basic Materials	318.47	4.37	0.00	Dec24	3.56
ICICI Pru MidCap Dir Gr	INF109K011N7	APL Apollo Tubes Ltd	Basic Materials	318.47	4.37	0.00	Jan25	5.32
ICICI Pru MidCap Dir Gr	INF109K011N7	APL Apollo Tubes Ltd	Basic Materials	318.47	4.37	0.00	Feb25	5.59
ICICI Pru MidCap Dir Gr	INF109K011N7	APL Apollo Tubes Ltd	Basic Materials	318.47	4.37	0.00	Mar25	15.51
