schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		Oct24	5.55
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		Nov24	7.52
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		Dec24	3.56
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		Jan25	5.32
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		Feb25	5.59
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		Mar25	15.51
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		Mar25	15.51
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		Apr25	12.51
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		May25	11.15
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		June25	10.18
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		July25	9.19
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Treps		1,258.27	4.41		Aug25	8.13
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	Oct24	5.55
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	Nov24	7.52
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	Dec24	3.56
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	Jan25	5.32
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	Feb25	5.59
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	Mar25	15.51
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	Mar25	15.51
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	Apr25	12.51
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	May25	11.15
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	June25	10.18
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	July25	9.19
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	SBI Cards and Payment Services Ltd Ordinary Shares	Financial Services	1,211.79	4.25	6.77	Aug25	8.13
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Axis Bank Ltd	Financial Services	1,042.13	3.66	-19.03	Oct24	5.55
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Axis Bank Ltd	Financial Services	1,042.13	3.66	-19.03	Nov24	7.52
ICICI Pru Large & Mid Cap Dir Gr	INF109K011O5	Axis Bank Ltd	Financial Services	1,042.13	3.66	-19.03	Dec24	3.56
