schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	Oct24	5.55
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	Nov24	7.52
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	Dec24	3.56
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	Jan25	5.32
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	Feb25	5.59
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	Mar25	15.51
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	Mar25	15.51
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	Apr25	12.51
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	May25	11.15
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	June25	10.18
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	July25	9.19
ICICI Prudential Large Cap Dir Gr	INF109K016L0	ICICI Bank Ltd	Financial Services	7,298.10	9.42	11.60	Aug25	8.13
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	Oct24	5.55
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	Nov24	7.52
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	Dec24	3.56
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	Jan25	5.32
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	Feb25	5.59
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	Mar25	15.51
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	Mar25	15.51
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	Apr25	12.51
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	May25	11.15
ICICI Prudential Large Cap Dir Gr	INF109K016L0	HDFC Bank Ltd	Financial Services	7,091.30	9.16	0.00	June25	10.18
