schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	Oct24	5.55
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	Nov24	7.52
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	Dec24	3.56
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	Jan25	5.32
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	Feb25	5.59
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	Apr25	12.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	May25	11.15
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	June25	10.18
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	July25	9.19
ICICI Pru Infrastructure Dir Gr	INF109K018M4	InterGlobe Aviation Ltd	Industrials	671.68	8.29	0.00	Aug25	8.13
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	Oct24	5.55
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	Nov24	7.52
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	Dec24	3.56
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	Jan25	5.32
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	Feb25	5.59
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	Apr25	12.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	May25	11.15
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	June25	10.18
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	July25	9.19
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Larsen & Toubro Ltd	Industrials	601.40	7.43	-19.94	Aug25	8.13
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		Oct24	5.55
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		Nov24	7.52
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		Dec24	3.56
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		Jan25	5.32
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		Feb25	5.59
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		Apr25	12.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		May25	11.15
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		June25	10.18
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		July25	9.19
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Treps		489.63	6.05		Aug25	8.13
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	Oct24	5.55
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	Nov24	7.52
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	Dec24	3.56
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	Jan25	5.32
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	Feb25	5.59
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	Apr25	12.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	May25	11.15
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	June25	10.18
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	July25	9.19
ICICI Pru Infrastructure Dir Gr	INF109K018M4	NTPC Ltd	Utilities	356.18	4.40	0.00	Aug25	8.13
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	Oct24	5.55
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	Nov24	7.52
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	Dec24	3.56
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	Jan25	5.32
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	Feb25	5.59
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	Mar25	15.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	Apr25	12.51
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	May25	11.15
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	June25	10.18
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	July25	9.19
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Oberoi Realty Ltd	Real Estate	309.56	3.82	19.85	Aug25	8.13
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Kalpataru Projects International Ltd	Industrials	239.58	2.96	0.00	Oct24	5.55
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Kalpataru Projects International Ltd	Industrials	239.58	2.96	0.00	Nov24	7.52
ICICI Pru Infrastructure Dir Gr	INF109K018M4	Kalpataru Projects International Ltd	Industrials	239.58	2.96	0.00	Dec24	3.56
