schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	Oct24	5.55
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	Nov24	7.52
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	Dec24	3.56
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	Jan25	5.32
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	Feb25	5.59
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	Mar25	15.51
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	Mar25	15.51
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	Apr25	12.51
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	May25	11.15
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	June25	10.18
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	July25	9.19
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Vedanta Ltd	Basic Materials	439.96	5.24	1.01	Aug25	8.13
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	Oct24	5.55
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	Nov24	7.52
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	Dec24	3.56
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	Jan25	5.32
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	Feb25	5.59
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	Mar25	15.51
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	Mar25	15.51
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	Apr25	12.51
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	May25	11.15
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	June25	10.18
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	July25	9.19
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	TVS Motor Co Ltd	Consumer Cyclical	328.00	3.91	1.01	Aug25	8.13
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Divi's Laboratories Ltd	Healthcare	293.95	3.50	1.01	Oct24	5.55
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Divi's Laboratories Ltd	Healthcare	293.95	3.50	1.01	Nov24	7.52
ICICI Pru Nifty Next 50 Index Dir Gr	INF109K01Y80	Divi's Laboratories Ltd	Healthcare	293.95	3.50	1.01	Dec24	3.56
