schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	Oct24	5.55
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	Nov24	7.52
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	Dec24	3.56
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	Jan25	5.32
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	Feb25	5.59
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	Mar25	15.51
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	Mar25	15.51
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	Apr25	12.51
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	May25	11.15
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	June25	10.18
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	July25	9.19
ICICI Pru FMCG Dir Gr	INF109K01Z14	ITC Ltd	Consumer Defensive	422.70	23.95	-7.67	Aug25	8.13
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	Oct24	5.55
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	Nov24	7.52
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	Dec24	3.56
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	Jan25	5.32
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	Feb25	5.59
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	Mar25	15.51
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	Mar25	15.51
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	Apr25	12.51
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	May25	11.15
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	June25	10.18
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	July25	9.19
ICICI Pru FMCG Dir Gr	INF109K01Z14	Hindustan Unilever Ltd	Consumer Defensive	341.70	19.36	0.00	Aug25	8.13
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	Oct24	5.55
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	Nov24	7.52
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	Dec24	3.56
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	Jan25	5.32
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	Feb25	5.59
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	Mar25	15.51
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	Mar25	15.51
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	Apr25	12.51
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	May25	11.15
ICICI Pru FMCG Dir Gr	INF109K01Z14	Nestle India Ltd	Consumer Defensive	166.52	9.43	-0.77	June25	10.18
