schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	Oct24	5.55
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	Nov24	7.52
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	Dec24	3.56
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	Jan25	5.32
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	Feb25	5.59
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	Mar25	15.51
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	Mar25	15.51
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	Apr25	12.51
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	May25	11.15
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	June25	10.18
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	July25	9.19
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Mahindra & Mahindra Ltd	Consumer Cyclical	51.66	23.85	2.22	Aug25	8.13
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	Oct24	5.55
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	Nov24	7.52
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	Dec24	3.56
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	Jan25	5.32
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	Feb25	5.59
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	Mar25	15.51
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	Mar25	15.51
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	Apr25	12.51
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	May25	11.15
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	June25	10.18
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	July25	9.19
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Maruti Suzuki India Ltd	Consumer Cyclical	33.21	15.33	2.25	Aug25	8.13
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	Oct24	5.55
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	Nov24	7.52
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	Dec24	3.56
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	Jan25	5.32
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	Feb25	5.59
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	Mar25	15.51
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	Mar25	15.51
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	Apr25	12.51
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	May25	11.15
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	June25	10.18
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	July25	9.19
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Bajaj Auto Ltd	Consumer Cyclical	18.83	8.70	2.25	Aug25	8.13
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Eicher Motors Ltd	Consumer Cyclical	18.78	8.67	2.25	Oct24	5.55
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Eicher Motors Ltd	Consumer Cyclical	18.78	8.67	2.25	Nov24	7.52
ICICI Pru Nifty Auto Index Dir Gr	INF109KC16J4	Eicher Motors Ltd	Consumer Cyclical	18.78	8.67	2.25	Dec24	3.56
