schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	Oct24	5.55
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	Nov24	7.52
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	Dec24	3.56
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	Jan25	5.32
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	Feb25	5.59
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	Mar25	15.51
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	Mar25	15.51
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	Apr25	12.51
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	May25	11.15
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	June25	10.18
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	July25	9.19
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	BHARAT 22 ETF		2,786.23	99.69	3.53	Aug25	8.13
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		Oct24	5.55
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		Nov24	7.52
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		Dec24	3.56
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		Jan25	5.32
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		Feb25	5.59
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		Mar25	15.51
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		Mar25	15.51
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		Apr25	12.51
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		May25	11.15
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		June25	10.18
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		July25	9.19
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Treps		14.26	0.51		Aug25	8.13
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		Oct24	5.55
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		Nov24	7.52
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		Dec24	3.56
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		Jan25	5.32
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		Feb25	5.59
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		Mar25	15.51
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		Mar25	15.51
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		Apr25	12.51
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		May25	11.15
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		June25	10.18
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		July25	9.19
ICICI Pru BHARAT 22 FOF Dir Gr	INF109KC1FX1	Net Current Assets		-5.61	0.20		Aug25	8.13
