schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	Oct24	5.55
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	Nov24	7.52
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	Dec24	3.56
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	Jan25	5.32
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	Feb25	5.59
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	Mar25	15.51
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	Mar25	15.51
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	Apr25	12.51
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	May25	11.15
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	June25	10.18
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	July25	9.19
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	HDFC Bank Ltd	Financial Services	9.02	6.79	0.00	Aug25	8.13
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	Oct24	5.55
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	Nov24	7.52
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	Dec24	3.56
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	Jan25	5.32
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	Feb25	5.59
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	Mar25	15.51
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	Mar25	15.51
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	Apr25	12.51
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	May25	11.15
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	June25	10.18
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	July25	9.19
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	ITC Ltd	Consumer Defensive	8.06	6.06	97.32	Aug25	8.13
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	Oct24	5.55
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	Nov24	7.52
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	Dec24	3.56
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	Jan25	5.32
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	Feb25	5.59
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	Mar25	15.51
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	Mar25	15.51
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	Apr25	12.51
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	May25	11.15
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	June25	10.18
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	July25	9.19
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Reliance Industries Ltd	Energy	7.95	5.98	0.00	Aug25	8.13
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Hero MotoCorp Ltd	Consumer Cyclical	7.86	5.91	61.90	Oct24	5.55
Kotak India Growth Ser 4 Dir Gr	INF174K019S9	Hero MotoCorp Ltd	Consumer Cyclical	7.86	5.91	61.90	Nov24	7.52
