schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	Oct24	5.55
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	Nov24	7.52
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	Dec24	3.56
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	Jan25	5.32
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	Feb25	5.59
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	Apr25	12.51
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	May25	11.15
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	June25	10.18
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	July25	9.19
Kotak Contra Dir Gr	INF174K01KZ9	HDFC Bank Ltd	Financial Services	304.22	5.82	0.00	Aug25	8.13
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	Oct24	5.55
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	Nov24	7.52
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	Dec24	3.56
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	Jan25	5.32
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	Feb25	5.59
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	Apr25	12.51
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	May25	11.15
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	June25	10.18
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	July25	9.19
Kotak Contra Dir Gr	INF174K01KZ9	ICICI Bank Ltd	Financial Services	241.04	4.61	0.00	Aug25	8.13
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	Oct24	5.55
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	Nov24	7.52
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	Dec24	3.56
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	Jan25	5.32
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	Feb25	5.59
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	Apr25	12.51
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	May25	11.15
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	June25	10.18
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	July25	9.19
Kotak Contra Dir Gr	INF174K01KZ9	State Bank of India	Financial Services	218.35	4.18	-4.22	Aug25	8.13
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	Oct24	5.55
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	Nov24	7.52
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	Dec24	3.56
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	Jan25	5.32
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	Feb25	5.59
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	Apr25	12.51
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	May25	11.15
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	June25	10.18
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	July25	9.19
Kotak Contra Dir Gr	INF174K01KZ9	Shriram Finance Ltd	Financial Services	170.47	3.26	0.00	Aug25	8.13
Kotak Contra Dir Gr	INF174K01KZ9	Reliance Industries Ltd	Energy	157.74	3.02	0.00	Oct24	5.55
Kotak Contra Dir Gr	INF174K01KZ9	Reliance Industries Ltd	Energy	157.74	3.02	0.00	Nov24	7.52
Kotak Contra Dir Gr	INF174K01KZ9	Reliance Industries Ltd	Energy	157.74	3.02	0.00	Dec24	3.56
Kotak Contra Dir Gr	INF174K01KZ9	Reliance Industries Ltd	Energy	157.74	3.02	0.00	Jan25	5.32
Kotak Contra Dir Gr	INF174K01KZ9	Reliance Industries Ltd	Energy	157.74	3.02	0.00	Feb25	5.59
Kotak Contra Dir Gr	INF174K01KZ9	Reliance Industries Ltd	Energy	157.74	3.02	0.00	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	Reliance Industries Ltd	Energy	157.74	3.02	0.00	Mar25	15.51
Kotak Contra Dir Gr	INF174K01KZ9	Reliance Industries Ltd	Energy	157.74	3.02	0.00	Apr25	12.51
Kotak Contra Dir Gr	INF174K01KZ9	Reliance Industries Ltd	Energy	157.74	3.02	0.00	May25	11.15
