schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	Oct24	5.55
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	Nov24	7.52
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	Dec24	3.56
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	Jan25	5.32
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	Feb25	5.59
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	Mar25	15.51
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	Mar25	15.51
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	Apr25	12.51
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	May25	11.15
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	June25	10.18
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	July25	9.19
Kotak Large & Midcap Dir Gr	INF174K01LF9	HDFC Bank Ltd	Financial Services	1,731.11	5.64	0.00	Aug25	8.13
Kotak Large & Midcap Dir Gr	INF174K01LF9	State Bank of India	Financial Services	1,502.13	4.89	0.00	Oct24	5.55
Kotak Large & Midcap Dir Gr	INF174K01LF9	State Bank of India	Financial Services	1,502.13	4.89	0.00	Nov24	7.52
Kotak Large & Midcap Dir Gr	INF174K01LF9	State Bank of India	Financial Services	1,502.13	4.89	0.00	Dec24	3.56
Kotak Large & Midcap Dir Gr	INF174K01LF9	State Bank of India	Financial Services	1,502.13	4.89	0.00	Jan25	5.32
Kotak Large & Midcap Dir Gr	INF174K01LF9	State Bank of India	Financial Services	1,502.13	4.89	0.00	Feb25	5.59
Kotak Large & Midcap Dir Gr	INF174K01LF9	State Bank of India	Financial Services	1,502.13	4.89	0.00	Mar25	15.51
Kotak Large & Midcap Dir Gr	INF174K01LF9	State Bank of India	Financial Services	1,502.13	4.89	0.00	Mar25	15.51
Kotak Large & Midcap Dir Gr	INF174K01LF9	State Bank of India	Financial Services	1,502.13	4.89	0.00	Apr25	12.51
