schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	Oct24	5.55
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	Nov24	7.52
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	Dec24	3.56
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	Jan25	5.32
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	Feb25	5.59
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	Mar25	15.51
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	Mar25	15.51
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	Apr25	12.51
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	May25	11.15
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	June25	10.18
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	July25	9.19
Kotak Focused Dir Gr	INF174KA1EN7	HDFC Bank Ltd	Financial Services	277.94	6.92	0.00	Aug25	8.13
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	Oct24	5.55
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	Nov24	7.52
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	Dec24	3.56
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	Jan25	5.32
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	Feb25	5.59
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	Mar25	15.51
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	Mar25	15.51
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	Apr25	12.51
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	May25	11.15
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	June25	10.18
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	July25	9.19
Kotak Focused Dir Gr	INF174KA1EN7	ICICI Bank Ltd	Financial Services	240.24	5.99	0.00	Aug25	8.13
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	Oct24	5.55
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	Nov24	7.52
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	Dec24	3.56
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	Jan25	5.32
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	Feb25	5.59
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	Mar25	15.51
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	Mar25	15.51
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	Apr25	12.51
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	May25	11.15
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	June25	10.18
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	July25	9.19
Kotak Focused Dir Gr	INF174KA1EN7	Shriram Finance Ltd	Financial Services	234.77	5.85	0.00	Aug25	8.13
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	Oct24	5.55
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	Nov24	7.52
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	Dec24	3.56
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	Jan25	5.32
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	Feb25	5.59
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	Mar25	15.51
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	Mar25	15.51
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	Apr25	12.51
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	May25	11.15
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	June25	10.18
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	July25	9.19
Kotak Focused Dir Gr	INF174KA1EN7	State Bank of India	Financial Services	217.63	5.42	-8.58	Aug25	8.13
Kotak Focused Dir Gr	INF174KA1EN7	Bharti Airtel Ltd	Communication Services	202.78	5.05	0.00	Oct24	5.55
Kotak Focused Dir Gr	INF174KA1EN7	Bharti Airtel Ltd	Communication Services	202.78	5.05	0.00	Nov24	7.52
Kotak Focused Dir Gr	INF174KA1EN7	Bharti Airtel Ltd	Communication Services	202.78	5.05	0.00	Dec24	3.56
Kotak Focused Dir Gr	INF174KA1EN7	Bharti Airtel Ltd	Communication Services	202.78	5.05	0.00	Jan25	5.32
