schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		Oct24	5.55
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		Nov24	7.52
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		Dec24	3.56
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		Jan25	5.32
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		Feb25	5.59
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		Mar25	15.51
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		Mar25	15.51
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		Apr25	12.51
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		May25	11.15
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		June25	10.18
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		July25	9.19
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	Triparty Repo		294.27	4.77		Aug25	8.13
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	Oct24	5.55
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	Nov24	7.52
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	Dec24	3.56
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	Jan25	5.32
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	Feb25	5.59
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	Mar25	15.51
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	Mar25	15.51
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	Apr25	12.51
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	May25	11.15
Mahindra Manulife Multi Cap Dir Gr	INF174V01341	ICICI Bank Ltd	Financial Services	234.83	3.80	0.00	June25	10.18
