schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	Oct24	5.55
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	Nov24	7.52
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	Dec24	3.56
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	Jan25	5.32
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	Feb25	5.59
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	Mar25	15.51
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	Mar25	15.51
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	Apr25	12.51
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	May25	11.15
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	June25	10.18
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	July25	9.19
Mahindra Manulife Focused Dir Gr	INF174V01AG7	ICICI Bank Ltd	Financial Services	191.70	8.56	0.00	Aug25	8.13
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	Oct24	5.55
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	Nov24	7.52
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	Dec24	3.56
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	Jan25	5.32
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	Feb25	5.59
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	Mar25	15.51
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	Mar25	15.51
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	Apr25	12.51
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	May25	11.15
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	June25	10.18
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	July25	9.19
Mahindra Manulife Focused Dir Gr	INF174V01AG7	Reliance Industries Ltd	Energy	124.94	5.58	-3.24	Aug25	8.13
Mahindra Manulife Focused Dir Gr	INF174V01AG7	State Bank of India	Financial Services	114.16	5.10	-28.68	Oct24	5.55
Mahindra Manulife Focused Dir Gr	INF174V01AG7	State Bank of India	Financial Services	114.16	5.10	-28.68	Nov24	7.52
Mahindra Manulife Focused Dir Gr	INF174V01AG7	State Bank of India	Financial Services	114.16	5.10	-28.68	Dec24	3.56
Mahindra Manulife Focused Dir Gr	INF174V01AG7	State Bank of India	Financial Services	114.16	5.10	-28.68	Jan25	5.32
Mahindra Manulife Focused Dir Gr	INF174V01AG7	State Bank of India	Financial Services	114.16	5.10	-28.68	Feb25	5.59
