schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	Oct24	5.55
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	Nov24	7.52
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	Dec24	3.56
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	Jan25	5.32
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	Feb25	5.59
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	Mar25	15.51
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	Mar25	15.51
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	Apr25	12.51
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	May25	11.15
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	June25	10.18
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	July25	9.19
HDFC Flexi Cap Dir Gr	INF179K01UT0	ICICI Bank Ltd	Financial Services	8,824.96	8.78	0.00	Aug25	8.13
HDFC Flexi Cap Dir Gr	INF179K01UT0	Treps - Tri-Party Repo		8,524.51	8.49		Oct24	5.55
HDFC Flexi Cap Dir Gr	INF179K01UT0	Treps - Tri-Party Repo		8,524.51	8.49		Nov24	7.52
HDFC Flexi Cap Dir Gr	INF179K01UT0	Treps - Tri-Party Repo		8,524.51	8.49		Dec24	3.56
HDFC Flexi Cap Dir Gr	INF179K01UT0	Treps - Tri-Party Repo		8,524.51	8.49		Jan25	5.32
HDFC Flexi Cap Dir Gr	INF179K01UT0	Treps - Tri-Party Repo		8,524.51	8.49		Feb25	5.59
HDFC Flexi Cap Dir Gr	INF179K01UT0	Treps - Tri-Party Repo		8,524.51	8.49		Mar25	15.51
HDFC Flexi Cap Dir Gr	INF179K01UT0	Treps - Tri-Party Repo		8,524.51	8.49		Mar25	15.51
HDFC Flexi Cap Dir Gr	INF179K01UT0	Treps - Tri-Party Repo		8,524.51	8.49		Apr25	12.51
HDFC Flexi Cap Dir Gr	INF179K01UT0	Treps - Tri-Party Repo		8,524.51	8.49		May25	11.15
