schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	Oct24	5.55
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	Nov24	7.52
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	Dec24	3.56
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	Jan25	5.32
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	Feb25	5.59
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	Apr25	12.51
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	May25	11.15
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	June25	10.18
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	July25	9.19
HDFC Focused Dir Gr	INF179K01VK7	ICICI Bank Ltd	Financial Services	2,578.54	9.50	0.00	Aug25	8.13
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		Oct24	5.55
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		Nov24	7.52
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		Dec24	3.56
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		Jan25	5.32
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		Feb25	5.59
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		Apr25	12.51
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		May25	11.15
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		June25	10.18
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		July25	9.19
HDFC Focused Dir Gr	INF179K01VK7	Treps - Tri-Party Repo		2,493.21	9.19		Aug25	8.13
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	Oct24	5.55
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	Nov24	7.52
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	Dec24	3.56
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	Jan25	5.32
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	Feb25	5.59
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	Apr25	12.51
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	May25	11.15
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	June25	10.18
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	July25	9.19
HDFC Focused Dir Gr	INF179K01VK7	HDFC Bank Ltd	Financial Services	2,488.05	9.17	0.00	Aug25	8.13
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	Oct24	5.55
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	Nov24	7.52
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	Dec24	3.56
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	Jan25	5.32
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	Feb25	5.59
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	Apr25	12.51
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	May25	11.15
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	June25	10.18
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	July25	9.19
HDFC Focused Dir Gr	INF179K01VK7	Axis Bank Ltd	Financial Services	2,075.85	7.65	0.00	Aug25	8.13
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	Oct24	5.55
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	Nov24	7.52
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	Dec24	3.56
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	Jan25	5.32
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	Feb25	5.59
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	Mar25	15.51
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	Apr25	12.51
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	May25	11.15
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	June25	10.18
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	July25	9.19
HDFC Focused Dir Gr	INF179K01VK7	State Bank of India	Financial Services	1,646.33	6.07	0.00	Aug25	8.13
HDFC Focused Dir Gr	INF179K01VK7	Kotak Mahindra Bank Ltd	Financial Services	1,568.33	5.78	0.00	Oct24	5.55
HDFC Focused Dir Gr	INF179K01VK7	Kotak Mahindra Bank Ltd	Financial Services	1,568.33	5.78	0.00	Nov24	7.52
HDFC Focused Dir Gr	INF179K01VK7	Kotak Mahindra Bank Ltd	Financial Services	1,568.33	5.78	0.00	Dec24	3.56
HDFC Focused Dir Gr	INF179K01VK7	Kotak Mahindra Bank Ltd	Financial Services	1,568.33	5.78	0.00	Jan25	5.32
HDFC Focused Dir Gr	INF179K01VK7	Kotak Mahindra Bank Ltd	Financial Services	1,568.33	5.78	0.00	Feb25	5.59
HDFC Focused Dir Gr	INF179K01VK7	Kotak Mahindra Bank Ltd	Financial Services	1,568.33	5.78	0.00	Mar25	15.51
