schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		Oct24	5.55
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		Nov24	7.52
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		Dec24	3.56
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		Jan25	5.32
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		Feb25	5.59
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		Mar25	15.51
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		Mar25	15.51
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		Apr25	12.51
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		May25	11.15
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		June25	10.18
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		July25	9.19
HDFC Small Cap Dir Gr	INF179KA1RW5	Treps - Tri-Party Repo		2,998.89	8.01		Aug25	8.13
HDFC Small Cap Dir Gr	INF179KA1RW5	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	1,575.43	4.21	0.58	Oct24	5.55
HDFC Small Cap Dir Gr	INF179KA1RW5	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	1,575.43	4.21	0.58	Nov24	7.52
HDFC Small Cap Dir Gr	INF179KA1RW5	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	1,575.43	4.21	0.58	Dec24	3.56
HDFC Small Cap Dir Gr	INF179KA1RW5	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	1,575.43	4.21	0.58	Jan25	5.32
HDFC Small Cap Dir Gr	INF179KA1RW5	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	1,575.43	4.21	0.58	Feb25	5.59
