schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		Oct24	5.55
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		Nov24	7.52
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		Dec24	3.56
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		Jan25	5.32
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		Feb25	5.59
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		Mar25	15.51
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		Mar25	15.51
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		Apr25	12.51
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		May25	11.15
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		June25	10.18
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		July25	9.19
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	Triparty Repo Trp_020326_val		883.33	5.98		Aug25	8.13
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	HDFC Bank Ltd	Financial Services	670.73	4.54	5.59	Oct24	5.55
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	HDFC Bank Ltd	Financial Services	670.73	4.54	5.59	Nov24	7.52
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	HDFC Bank Ltd	Financial Services	670.73	4.54	5.59	Dec24	3.56
Bandhan Large & Mid Cap Dir Gr	INF194K01V89	HDFC Bank Ltd	Financial Services	670.73	4.54	5.59	Jan25	5.32
