schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		Oct24	5.55
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		Nov24	7.52
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		Dec24	3.56
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		Jan25	5.32
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		Feb25	5.59
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		Apr25	12.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		May25	11.15
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		June25	10.18
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		July25	9.19
Bandhan Small Cap Dir Gr	INF194KB1AL4	Triparty Repo Trp_020326_val		2,147.77	10.49		Aug25	8.13
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	Oct24	5.55
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	Nov24	7.52
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	Dec24	3.56
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	Jan25	5.32
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	Feb25	5.59
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	Apr25	12.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	May25	11.15
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	June25	10.18
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	July25	9.19
Bandhan Small Cap Dir Gr	INF194KB1AL4	REC Ltd	Financial Services	729.90	3.56	12.09	Aug25	8.13
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	Oct24	5.55
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	Nov24	7.52
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	Dec24	3.56
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	Jan25	5.32
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	Feb25	5.59
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	Apr25	12.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	May25	11.15
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	June25	10.18
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	July25	9.19
Bandhan Small Cap Dir Gr	INF194KB1AL4	Sobha Ltd	Real Estate	709.98	3.47	5.18	Aug25	8.13
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	Oct24	5.55
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	Nov24	7.52
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	Dec24	3.56
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	Jan25	5.32
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	Feb25	5.59
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	Apr25	12.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	May25	11.15
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	June25	10.18
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	July25	9.19
Bandhan Small Cap Dir Gr	INF194KB1AL4	LT Foods Ltd	Consumer Defensive	504.51	2.46	1.73	Aug25	8.13
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	Oct24	5.55
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	Nov24	7.52
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	Dec24	3.56
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	Jan25	5.32
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	Feb25	5.59
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	Mar25	15.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	Apr25	12.51
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	May25	11.15
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	June25	10.18
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	July25	9.19
Bandhan Small Cap Dir Gr	INF194KB1AL4	The South Indian Bank Ltd	Financial Services	436.75	2.13	-0.08	Aug25	8.13
Bandhan Small Cap Dir Gr	INF194KB1AL4	Arvind Ltd	Consumer Cyclical	337.51	1.65	8.47	Oct24	5.55
