schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		Oct24	5.55
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		Nov24	7.52
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		Dec24	3.56
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		Jan25	5.32
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		Feb25	5.59
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		Mar25	15.51
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		Mar25	15.51
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		Apr25	12.51
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		May25	11.15
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		June25	10.18
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		July25	9.19
SBI Focused Dir Gr	INF200K01RJ1	Treps		4,916.57	11.35		Aug25	8.13
SBI Focused Dir Gr	INF200K01RJ1	Alphabet Inc Class A	Communication Services	3,969.82	9.17	0.00	Oct24	5.55
SBI Focused Dir Gr	INF200K01RJ1	Alphabet Inc Class A	Communication Services	3,969.82	9.17	0.00	Nov24	7.52
SBI Focused Dir Gr	INF200K01RJ1	Alphabet Inc Class A	Communication Services	3,969.82	9.17	0.00	Dec24	3.56
SBI Focused Dir Gr	INF200K01RJ1	Alphabet Inc Class A	Communication Services	3,969.82	9.17	0.00	Jan25	5.32
SBI Focused Dir Gr	INF200K01RJ1	Alphabet Inc Class A	Communication Services	3,969.82	9.17	0.00	Feb25	5.59
SBI Focused Dir Gr	INF200K01RJ1	Alphabet Inc Class A	Communication Services	3,969.82	9.17	0.00	Mar25	15.51
SBI Focused Dir Gr	INF200K01RJ1	Alphabet Inc Class A	Communication Services	3,969.82	9.17	0.00	Mar25	15.51
SBI Focused Dir Gr	INF200K01RJ1	Alphabet Inc Class A	Communication Services	3,969.82	9.17	0.00	Apr25	12.51
