schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	Oct24	5.55
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	Nov24	7.52
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	Dec24	3.56
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	Jan25	5.32
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	Feb25	5.59
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	Mar25	15.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	Mar25	15.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	Apr25	12.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	May25	11.15
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	June25	10.18
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	July25	9.19
SBI Technology Opportunities Dir Gr	INF200K01RV6	Infosys Ltd	Technology	571.42	13.37	0.00	Aug25	8.13
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	Oct24	5.55
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	Nov24	7.52
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	Dec24	3.56
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	Jan25	5.32
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	Feb25	5.59
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	Mar25	15.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	Mar25	15.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	Apr25	12.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	May25	11.15
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	June25	10.18
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	July25	9.19
SBI Technology Opportunities Dir Gr	INF200K01RV6	Bharti Airtel Ltd	Communication Services	375.86	8.80	-29.82	Aug25	8.13
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	Oct24	5.55
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	Nov24	7.52
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	Dec24	3.56
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	Jan25	5.32
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	Feb25	5.59
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	Mar25	15.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	Mar25	15.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	Apr25	12.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	May25	11.15
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	June25	10.18
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	July25	9.19
SBI Technology Opportunities Dir Gr	INF200K01RV6	Tata Consultancy Services Ltd	Technology	269.01	6.30	70.00	Aug25	8.13
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	Oct24	5.55
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	Nov24	7.52
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	Dec24	3.56
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	Jan25	5.32
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	Feb25	5.59
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	Mar25	15.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	Mar25	15.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	Apr25	12.51
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	May25	11.15
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	June25	10.18
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	July25	9.19
SBI Technology Opportunities Dir Gr	INF200K01RV6	Eternal Ltd	Consumer Cyclical	261.08	6.11	0.00	Aug25	8.13
SBI Technology Opportunities Dir Gr	INF200K01RV6	LTIMindtree Ltd	Technology	223.10	5.22	0.00	Oct24	5.55
SBI Technology Opportunities Dir Gr	INF200K01RV6	LTIMindtree Ltd	Technology	223.10	5.22	0.00	Nov24	7.52
SBI Technology Opportunities Dir Gr	INF200K01RV6	LTIMindtree Ltd	Technology	223.10	5.22	0.00	Dec24	3.56
SBI Technology Opportunities Dir Gr	INF200K01RV6	LTIMindtree Ltd	Technology	223.10	5.22	0.00	Jan25	5.32
SBI Technology Opportunities Dir Gr	INF200K01RV6	LTIMindtree Ltd	Technology	223.10	5.22	0.00	Feb25	5.59
