schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	Oct24	5.55
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	Nov24	7.52
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	Dec24	3.56
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	Jan25	5.32
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	Feb25	5.59
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	Mar25	15.51
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	Mar25	15.51
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	Apr25	12.51
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	May25	11.15
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	June25	10.18
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	July25	9.19
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	HDFC Bank Ltd	Financial Services	478.48	8.66	0.00	Aug25	8.13
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	ICICI Bank Ltd	Financial Services	467.45	8.46	0.00	Oct24	5.55
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	ICICI Bank Ltd	Financial Services	467.45	8.46	0.00	Nov24	7.52
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	ICICI Bank Ltd	Financial Services	467.45	8.46	0.00	Dec24	3.56
SBI ESG Exclusionary Strategy Dir Gr	INF200K01SE0	ICICI Bank Ltd	Financial Services	467.45	8.46	0.00	Jan25	5.32
