schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	Oct24	5.55
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	Nov24	7.52
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	Dec24	3.56
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	Jan25	5.32
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	Feb25	5.59
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	Mar25	15.51
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	Mar25	15.51
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	Apr25	12.51
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	May25	11.15
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	June25	10.18
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	July25	9.19
SBI PSU Dir Gr	INF200K01UY4	State Bank of India	Financial Services	1,192.99	18.23	0.00	Aug25	8.13
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	Oct24	5.55
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	Nov24	7.52
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	Dec24	3.56
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	Jan25	5.32
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	Feb25	5.59
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	Mar25	15.51
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	Mar25	15.51
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	Apr25	12.51
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	May25	11.15
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	June25	10.18
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	July25	9.19
SBI PSU Dir Gr	INF200K01UY4	Bharat Electronics Ltd	Industrials	610.35	9.33	5.78	Aug25	8.13
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	Oct24	5.55
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	Nov24	7.52
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	Dec24	3.56
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	Jan25	5.32
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	Feb25	5.59
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	Mar25	15.51
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	Mar25	15.51
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	Apr25	12.51
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	May25	11.15
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	June25	10.18
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	July25	9.19
SBI PSU Dir Gr	INF200K01UY4	Power Grid Corp Of India Ltd	Utilities	595.38	9.10	0.00	Aug25	8.13
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	Oct24	5.55
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	Nov24	7.52
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	Dec24	3.56
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	Jan25	5.32
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	Feb25	5.59
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	Mar25	15.51
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	Mar25	15.51
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	Apr25	12.51
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	May25	11.15
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	June25	10.18
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	July25	9.19
SBI PSU Dir Gr	INF200K01UY4	GAIL (India) Ltd	Utilities	592.51	9.05	19.90	Aug25	8.13
SBI PSU Dir Gr	INF200K01UY4	NTPC Ltd	Utilities	589.78	9.01	0.00	Oct24	5.55
