schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	Oct24	5.55
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	Nov24	7.52
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	Dec24	3.56
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	Jan25	5.32
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	Feb25	5.59
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	Mar25	15.51
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	Mar25	15.51
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	Apr25	12.51
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	May25	11.15
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	June25	10.18
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	July25	9.19
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	ICICI Bank Ltd	Financial Services	1,443.60	13.46	136.02	Aug25	8.13
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	Oct24	5.55
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	Nov24	7.52
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	Dec24	3.56
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	Jan25	5.32
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	Feb25	5.59
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	Mar25	15.51
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	Mar25	15.51
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	Apr25	12.51
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	May25	11.15
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	June25	10.18
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	July25	9.19
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	State Bank of India	Financial Services	1,121.23	10.45	0.00	Aug25	8.13
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	Axis Bank Ltd	Financial Services	1,004.92	9.37	0.00	Oct24	5.55
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	Axis Bank Ltd	Financial Services	1,004.92	9.37	0.00	Nov24	7.52
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	Axis Bank Ltd	Financial Services	1,004.92	9.37	0.00	Dec24	3.56
SBI Banking & Financial Svcs Dir Gr	INF200KA1507	Axis Bank Ltd	Financial Services	1,004.92	9.37	0.00	Jan25	5.32
