schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	Oct24	5.55
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	Nov24	7.52
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	Dec24	3.56
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	Jan25	5.32
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	Feb25	5.59
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	Apr25	12.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	May25	11.15
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	June25	10.18
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	July25	9.19
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	BSE Ltd	Financial Services	1,434.76	3.26	3.92	Aug25	8.13
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	Oct24	5.55
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	Nov24	7.52
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	Dec24	3.56
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	Jan25	5.32
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	Feb25	5.59
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	Apr25	12.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	May25	11.15
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	June25	10.18
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	July25	9.19
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Fortis Healthcare Ltd	Healthcare	1,276.54	2.90	0.00	Aug25	8.13
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	Oct24	5.55
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	Nov24	7.52
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	Dec24	3.56
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	Jan25	5.32
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	Feb25	5.59
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	Apr25	12.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	May25	11.15
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	June25	10.18
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	July25	9.19
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	The Federal Bank Ltd	Financial Services	1,229.39	2.80	0.00	Aug25	8.13
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	Oct24	5.55
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	Nov24	7.52
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	Dec24	3.56
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	Jan25	5.32
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	Feb25	5.59
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	Apr25	12.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	May25	11.15
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	June25	10.18
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	July25	9.19
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Voltas Ltd	Consumer Cyclical	1,078.85	2.45	0.00	Aug25	8.13
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	Oct24	5.55
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	Nov24	7.52
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	Dec24	3.56
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	Jan25	5.32
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	Feb25	5.59
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	Apr25	12.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	May25	11.15
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	June25	10.18
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	July25	9.19
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	AU Small Finance Bank Ltd	Financial Services	1,054.19	2.40	0.00	Aug25	8.13
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	Oct24	5.55
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	Nov24	7.52
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	Dec24	3.56
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	Jan25	5.32
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	Feb25	5.59
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	Mar25	15.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	Apr25	12.51
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	May25	11.15
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	June25	10.18
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	July25	9.19
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Bharat Forge Ltd	Consumer Cyclical	1,040.46	2.37	0.00	Aug25	8.13
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Ashok Leyland Ltd	Industrials	928.84	2.11	-2.22	Oct24	5.55
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Ashok Leyland Ltd	Industrials	928.84	2.11	-2.22	Nov24	7.52
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Ashok Leyland Ltd	Industrials	928.84	2.11	-2.22	Dec24	3.56
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Ashok Leyland Ltd	Industrials	928.84	2.11	-2.22	Jan25	5.32
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Ashok Leyland Ltd	Industrials	928.84	2.11	-2.22	Feb25	5.59
Nippon India Growth Mid Cap Dir Gr	INF204K01E54	Ashok Leyland Ltd	Industrials	928.84	2.11	-2.22	Mar25	15.51
