schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	Oct24	5.55
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	Nov24	7.52
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	Dec24	3.56
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	Jan25	5.32
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	Feb25	5.59
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	Mar25	15.51
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	Mar25	15.51
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	Apr25	12.51
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	May25	11.15
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	June25	10.18
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	July25	9.19
Nippon India Pharma Dir Gr	INF204K01I50	Sun Pharmaceuticals Industries Ltd	Healthcare	1,086.73	13.08	0.00	Aug25	8.13
Nippon India Pharma Dir Gr	INF204K01I50	Lupin Ltd	Healthcare	663.87	7.99	0.00	Oct24	5.55
Nippon India Pharma Dir Gr	INF204K01I50	Lupin Ltd	Healthcare	663.87	7.99	0.00	Nov24	7.52
