schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	Oct24	5.55
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	Nov24	7.52
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	Dec24	3.56
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	Jan25	5.32
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	Feb25	5.59
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	Mar25	15.51
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	Mar25	15.51
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	Apr25	12.51
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	May25	11.15
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	June25	10.18
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	July25	9.19
Nippon India Small Cap Dir Gr	INF204K01K15	Multi Commodity Exchange of India Ltd	Financial Services	1,954.64	2.89	-8.87	Aug25	8.13
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		Oct24	5.55
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		Nov24	7.52
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		Dec24	3.56
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		Jan25	5.32
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		Feb25	5.59
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		Mar25	15.51
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		Mar25	15.51
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		Apr25	12.51
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		May25	11.15
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		June25	10.18
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		July25	9.19
Nippon India Small Cap Dir Gr	INF204K01K15	Triparty Repo		1,546.57	2.29		Aug25	8.13
Nippon India Small Cap Dir Gr	INF204K01K15	HDFC Bank Ltd	Financial Services	1,358.26	2.01	0.00	Oct24	5.55
Nippon India Small Cap Dir Gr	INF204K01K15	HDFC Bank Ltd	Financial Services	1,358.26	2.01	0.00	Nov24	7.52
Nippon India Small Cap Dir Gr	INF204K01K15	HDFC Bank Ltd	Financial Services	1,358.26	2.01	0.00	Dec24	3.56
Nippon India Small Cap Dir Gr	INF204K01K15	HDFC Bank Ltd	Financial Services	1,358.26	2.01	0.00	Jan25	5.32
Nippon India Small Cap Dir Gr	INF204K01K15	HDFC Bank Ltd	Financial Services	1,358.26	2.01	0.00	Feb25	5.59
Nippon India Small Cap Dir Gr	INF204K01K15	HDFC Bank Ltd	Financial Services	1,358.26	2.01	0.00	Mar25	15.51
Nippon India Small Cap Dir Gr	INF204K01K15	HDFC Bank Ltd	Financial Services	1,358.26	2.01	0.00	Mar25	15.51
