schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	Oct24	5.55
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	Nov24	7.52
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	Dec24	3.56
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	Jan25	5.32
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	Feb25	5.59
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	Mar25	15.51
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	Mar25	15.51
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	Apr25	12.51
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	May25	11.15
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	June25	10.18
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	July25	9.19
Nippon India Large Cap Dir Gr	INF204K01XI3	HDFC Bank Ltd	Financial Services	4,534.69	8.82	3.03	Aug25	8.13
Nippon India Large Cap Dir Gr	INF204K01XI3	ICICI Bank Ltd	Financial Services	3,609.68	7.02	10.56	Oct24	5.55
Nippon India Large Cap Dir Gr	INF204K01XI3	ICICI Bank Ltd	Financial Services	3,609.68	7.02	10.56	Nov24	7.52
Nippon India Large Cap Dir Gr	INF204K01XI3	ICICI Bank Ltd	Financial Services	3,609.68	7.02	10.56	Dec24	3.56
Nippon India Large Cap Dir Gr	INF204K01XI3	ICICI Bank Ltd	Financial Services	3,609.68	7.02	10.56	Jan25	5.32
Nippon India Large Cap Dir Gr	INF204K01XI3	ICICI Bank Ltd	Financial Services	3,609.68	7.02	10.56	Feb25	5.59
