schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	Oct24	5.55
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	Nov24	7.52
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	Dec24	3.56
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	Jan25	5.32
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	Feb25	5.59
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	Mar25	15.51
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	Mar25	15.51
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	Apr25	12.51
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	May25	11.15
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	June25	10.18
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	July25	9.19
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	BSE Ltd	Financial Services	64.17	2.93	1.39	Aug25	8.13
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	Oct24	5.55
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	Nov24	7.52
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	Dec24	3.56
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	Jan25	5.32
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	Feb25	5.59
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	Mar25	15.51
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	Mar25	15.51
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	Apr25	12.51
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	May25	11.15
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	June25	10.18
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	July25	9.19
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	Hero MotoCorp Ltd	Consumer Cyclical	42.99	1.96	1.39	Aug25	8.13
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	Oct24	5.55
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	Nov24	7.52
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	Dec24	3.56
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	Jan25	5.32
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	Feb25	5.59
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	Mar25	15.51
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	Mar25	15.51
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	Apr25	12.51
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	May25	11.15
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	June25	10.18
Nippon India Nifty Midcap 150 Idx Dir Gr	INF204KB18Z7	The Federal Bank Ltd	Financial Services	42.79	1.96	1.39	July25	9.19
