schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	Oct24	5.55
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	Nov24	7.52
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	Dec24	3.56
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	Jan25	5.32
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	Feb25	5.59
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	Mar25	15.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	Mar25	15.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	Apr25	12.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	May25	11.15
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	June25	10.18
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	July25	9.19
Invesco India Financial Serv Dir Gr	INF205K01KY4	HDFC Bank Ltd	Financial Services	251.96	15.27	0.00	Aug25	8.13
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	Oct24	5.55
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	Nov24	7.52
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	Dec24	3.56
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	Jan25	5.32
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	Feb25	5.59
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	Mar25	15.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	Mar25	15.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	Apr25	12.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	May25	11.15
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	June25	10.18
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	July25	9.19
Invesco India Financial Serv Dir Gr	INF205K01KY4	ICICI Bank Ltd	Financial Services	224.59	13.61	0.00	Aug25	8.13
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	Oct24	5.55
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	Nov24	7.52
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	Dec24	3.56
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	Jan25	5.32
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	Feb25	5.59
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	Mar25	15.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	Mar25	15.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	Apr25	12.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	May25	11.15
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	June25	10.18
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	July25	9.19
Invesco India Financial Serv Dir Gr	INF205K01KY4	Multi Commodity Exchange of India Ltd	Financial Services	112.57	6.82	0.00	Aug25	8.13
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	Oct24	5.55
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	Nov24	7.52
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	Dec24	3.56
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	Jan25	5.32
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	Feb25	5.59
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	Mar25	15.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	Mar25	15.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	Apr25	12.51
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	May25	11.15
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	June25	10.18
Invesco India Financial Serv Dir Gr	INF205K01KY4	Axis Bank Ltd	Financial Services	106.20	6.44	18.80	July25	9.19
