schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	Oct24	5.55
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	Nov24	7.52
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	Dec24	3.56
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	Jan25	5.32
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	Feb25	5.59
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	Mar25	15.51
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	Mar25	15.51
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	Apr25	12.51
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	May25	11.15
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	June25	10.18
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	July25	9.19
Invesco India largecap Dir Gr	INF205K01LB0	ICICI Bank Ltd	Financial Services	133.68	7.86	0.00	Aug25	8.13
Invesco India largecap Dir Gr	INF205K01LB0	HDFC Bank Ltd	Financial Services	122.94	7.22	0.00	Oct24	5.55
Invesco India largecap Dir Gr	INF205K01LB0	HDFC Bank Ltd	Financial Services	122.94	7.22	0.00	Nov24	7.52
Invesco India largecap Dir Gr	INF205K01LB0	HDFC Bank Ltd	Financial Services	122.94	7.22	0.00	Dec24	3.56
Invesco India largecap Dir Gr	INF205K01LB0	HDFC Bank Ltd	Financial Services	122.94	7.22	0.00	Jan25	5.32
Invesco India largecap Dir Gr	INF205K01LB0	HDFC Bank Ltd	Financial Services	122.94	7.22	0.00	Feb25	5.59
Invesco India largecap Dir Gr	INF205K01LB0	HDFC Bank Ltd	Financial Services	122.94	7.22	0.00	Mar25	15.51
Invesco India largecap Dir Gr	INF205K01LB0	HDFC Bank Ltd	Financial Services	122.94	7.22	0.00	Mar25	15.51
Invesco India largecap Dir Gr	INF205K01LB0	HDFC Bank Ltd	Financial Services	122.94	7.22	0.00	Apr25	12.51
Invesco India largecap Dir Gr	INF205K01LB0	HDFC Bank Ltd	Financial Services	122.94	7.22	0.00	May25	11.15
