schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	Oct24	5.55
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	Nov24	7.52
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	Dec24	3.56
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	Jan25	5.32
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	Feb25	5.59
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	Apr25	12.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	May25	11.15
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	June25	10.18
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	July25	9.19
Invesco India large& mid cap Dir Gr	INF205K01MA0	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	674.32	7.18	0.00	Aug25	8.13
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	Oct24	5.55
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	Nov24	7.52
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	Dec24	3.56
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	Jan25	5.32
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	Feb25	5.59
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	Apr25	12.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	May25	11.15
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	June25	10.18
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	July25	9.19
Invesco India large& mid cap Dir Gr	INF205K01MA0	InterGlobe Aviation Ltd	Industrials	559.20	5.95	2.49	Aug25	8.13
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	Oct24	5.55
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	Nov24	7.52
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	Dec24	3.56
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	Jan25	5.32
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	Feb25	5.59
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	Apr25	12.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	May25	11.15
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	June25	10.18
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	July25	9.19
Invesco India large& mid cap Dir Gr	INF205K01MA0	BSE Ltd	Financial Services	427.93	4.56	0.00	Aug25	8.13
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	Oct24	5.55
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	Nov24	7.52
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	Dec24	3.56
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	Jan25	5.32
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	Feb25	5.59
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	Apr25	12.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	May25	11.15
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	June25	10.18
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	July25	9.19
Invesco India large& mid cap Dir Gr	INF205K01MA0	Sai Life Sciences Ltd	Healthcare	427.63	4.55	0.00	Aug25	8.13
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	Oct24	5.55
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	Nov24	7.52
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	Dec24	3.56
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	Jan25	5.32
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	Feb25	5.59
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	Mar25	15.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	Apr25	12.51
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	May25	11.15
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	June25	10.18
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	July25	9.19
Invesco India large& mid cap Dir Gr	INF205K01MA0	Trent Ltd	Consumer Cyclical	424.70	4.52	10.74	Aug25	8.13
Invesco India large& mid cap Dir Gr	INF205K01MA0	Eternal Ltd	Consumer Cyclical	405.79	4.32	0.00	Oct24	5.55
Invesco India large& mid cap Dir Gr	INF205K01MA0	Eternal Ltd	Consumer Cyclical	405.79	4.32	0.00	Nov24	7.52
