schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	Oct24	5.55
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	Nov24	7.52
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	Dec24	3.56
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	Jan25	5.32
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	Feb25	5.59
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	Mar25	15.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	Mar25	15.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	Apr25	12.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	May25	11.15
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	June25	10.18
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	July25	9.19
Invesco India Mid Cap Dir Gr	INF205K01MV6	The Federal Bank Ltd	Financial Services	668.79	6.21	0.00	Aug25	8.13
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	Oct24	5.55
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	Nov24	7.52
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	Dec24	3.56
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	Jan25	5.32
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	Feb25	5.59
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	Mar25	15.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	Mar25	15.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	Apr25	12.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	May25	11.15
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	June25	10.18
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	July25	9.19
Invesco India Mid Cap Dir Gr	INF205K01MV6	AU Small Finance Bank Ltd	Financial Services	568.95	5.28	0.00	Aug25	8.13
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	Oct24	5.55
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	Nov24	7.52
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	Dec24	3.56
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	Jan25	5.32
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	Feb25	5.59
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	Mar25	15.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	Mar25	15.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	Apr25	12.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	May25	11.15
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	June25	10.18
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	July25	9.19
Invesco India Mid Cap Dir Gr	INF205K01MV6	Prestige Estates Projects Ltd	Real Estate	538.48	5.00	8.76	Aug25	8.13
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	Oct24	5.55
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	Nov24	7.52
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	Dec24	3.56
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	Jan25	5.32
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	Feb25	5.59
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	Mar25	15.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	Mar25	15.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	Apr25	12.51
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	May25	11.15
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	June25	10.18
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	July25	9.19
Invesco India Mid Cap Dir Gr	INF205K01MV6	Max Healthcare Institute Ltd Ordinary Shares	Healthcare	521.32	4.84	0.00	Aug25	8.13
Invesco India Mid Cap Dir Gr	INF205K01MV6	BSE Ltd	Financial Services	514.14	4.77	25.01	Oct24	5.55
Invesco India Mid Cap Dir Gr	INF205K01MV6	BSE Ltd	Financial Services	514.14	4.77	25.01	Nov24	7.52
Invesco India Mid Cap Dir Gr	INF205K01MV6	BSE Ltd	Financial Services	514.14	4.77	25.01	Dec24	3.56
Invesco India Mid Cap Dir Gr	INF205K01MV6	BSE Ltd	Financial Services	514.14	4.77	25.01	Jan25	5.32
Invesco India Mid Cap Dir Gr	INF205K01MV6	BSE Ltd	Financial Services	514.14	4.77	25.01	Feb25	5.59
Invesco India Mid Cap Dir Gr	INF205K01MV6	BSE Ltd	Financial Services	514.14	4.77	25.01	Mar25	15.51
