schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	Oct24	5.55
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	Nov24	7.52
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	Dec24	3.56
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	Jan25	5.32
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	Feb25	5.59
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	Mar25	15.51
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	Mar25	15.51
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	Apr25	12.51
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	May25	11.15
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	June25	10.18
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	July25	9.19
Invesco India PSU Equity Dir Gr	INF205K01NG5	State Bank of India	Financial Services	140.75	9.32	-9.56	Aug25	8.13
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	Oct24	5.55
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	Nov24	7.52
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	Dec24	3.56
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	Jan25	5.32
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	Feb25	5.59
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	Mar25	15.51
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	Mar25	15.51
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	Apr25	12.51
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	May25	11.15
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	June25	10.18
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	July25	9.19
Invesco India PSU Equity Dir Gr	INF205K01NG5	Indian Bank	Financial Services	114.64	7.59	0.00	Aug25	8.13
Invesco India PSU Equity Dir Gr	INF205K01NG5	Bharat Petroleum Corp Ltd	Energy	104.71	6.93	0.00	Oct24	5.55
Invesco India PSU Equity Dir Gr	INF205K01NG5	Bharat Petroleum Corp Ltd	Energy	104.71	6.93	0.00	Nov24	7.52
Invesco India PSU Equity Dir Gr	INF205K01NG5	Bharat Petroleum Corp Ltd	Energy	104.71	6.93	0.00	Dec24	3.56
Invesco India PSU Equity Dir Gr	INF205K01NG5	Bharat Petroleum Corp Ltd	Energy	104.71	6.93	0.00	Jan25	5.32
Invesco India PSU Equity Dir Gr	INF205K01NG5	Bharat Petroleum Corp Ltd	Energy	104.71	6.93	0.00	Feb25	5.59
