schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	Oct24	5.55
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	Nov24	7.52
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	Dec24	3.56
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	Jan25	5.32
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	Feb25	5.59
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	Mar25	15.51
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	Mar25	15.51
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	Apr25	12.51
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	May25	11.15
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	June25	10.18
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	July25	9.19
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	State Bank of India	Financial Services	1,228.70	20.19	0.00	Aug25	8.13
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	Oct24	5.55
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	Nov24	7.52
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	Dec24	3.56
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	Jan25	5.32
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	Feb25	5.59
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	Mar25	15.51
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	Mar25	15.51
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	Apr25	12.51
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	May25	11.15
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	June25	10.18
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	July25	9.19
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	NTPC Ltd	Utilities	503.85	8.28	0.00	Aug25	8.13
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	Power Grid Corp Of India Ltd	Utilities	368.26	6.05	0.00	Oct24	5.55
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	Power Grid Corp Of India Ltd	Utilities	368.26	6.05	0.00	Nov24	7.52
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	Power Grid Corp Of India Ltd	Utilities	368.26	6.05	0.00	Dec24	3.56
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	Power Grid Corp Of India Ltd	Utilities	368.26	6.05	0.00	Jan25	5.32
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	Power Grid Corp Of India Ltd	Utilities	368.26	6.05	0.00	Feb25	5.59
Aditya BSL PSU Equity Dir Gr	INF209KB1O82	Power Grid Corp Of India Ltd	Utilities	368.26	6.05	0.00	Mar25	15.51
