schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	Oct24	5.55
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	Nov24	7.52
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	Dec24	3.56
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	Jan25	5.32
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	Feb25	5.59
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	Mar25	15.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	Mar25	15.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	Apr25	12.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	May25	11.15
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	June25	10.18
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	July25	9.19
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	State Bank of India	Financial Services	172.43	9.86	13.99	Aug25	8.13
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	Oct24	5.55
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	Nov24	7.52
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	Dec24	3.56
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	Jan25	5.32
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	Feb25	5.59
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	Mar25	15.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	Mar25	15.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	Apr25	12.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	May25	11.15
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	June25	10.18
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	July25	9.19
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Indian Oil Corp Ltd	Energy	155.98	8.92	13.99	Aug25	8.13
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	Oct24	5.55
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	Nov24	7.52
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	Dec24	3.56
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	Jan25	5.32
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	Feb25	5.59
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	Mar25	15.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	Mar25	15.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	Apr25	12.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	May25	11.15
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	June25	10.18
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	July25	9.19
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Hindalco Industries Ltd	Basic Materials	146.27	8.36	13.99	Aug25	8.13
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	Oct24	5.55
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	Nov24	7.52
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	Dec24	3.56
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	Jan25	5.32
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	Feb25	5.59
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	Mar25	15.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	Mar25	15.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	Apr25	12.51
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	May25	11.15
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	June25	10.18
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	July25	9.19
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Bharat Petroleum Corp Ltd	Energy	142.40	8.14	13.99	Aug25	8.13
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Oil & Natural Gas Corp Ltd	Energy	141.81	8.11	13.99	Oct24	5.55
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Oil & Natural Gas Corp Ltd	Energy	141.81	8.11	13.99	Nov24	7.52
Motilal Oswal BSE Enh Val Idx Dir Gr	INF247L01BF2	Oil & Natural Gas Corp Ltd	Energy	141.81	8.11	13.99	Dec24	3.56
