schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	Oct24	5.55
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	Nov24	7.52
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	Dec24	3.56
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	Jan25	5.32
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	Feb25	5.59
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	Mar25	15.51
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	Mar25	15.51
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	Apr25	12.51
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	May25	11.15
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	June25	10.18
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	July25	9.19
Tata India Consumer Dir Gr	INF277K013A6	Titan Co Ltd	Consumer Cyclical	194.74	7.82	0.00	Aug25	8.13
Tata India Consumer Dir Gr	INF277K013A6	Eternal Ltd	Consumer Cyclical	192.85	7.74	0.00	Oct24	5.55
Tata India Consumer Dir Gr	INF277K013A6	Eternal Ltd	Consumer Cyclical	192.85	7.74	0.00	Nov24	7.52
Tata India Consumer Dir Gr	INF277K013A6	Eternal Ltd	Consumer Cyclical	192.85	7.74	0.00	Dec24	3.56
Tata India Consumer Dir Gr	INF277K013A6	Eternal Ltd	Consumer Cyclical	192.85	7.74	0.00	Jan25	5.32
Tata India Consumer Dir Gr	INF277K013A6	Eternal Ltd	Consumer Cyclical	192.85	7.74	0.00	Feb25	5.59
Tata India Consumer Dir Gr	INF277K013A6	Eternal Ltd	Consumer Cyclical	192.85	7.74	0.00	Mar25	15.51
Tata India Consumer Dir Gr	INF277K013A6	Eternal Ltd	Consumer Cyclical	192.85	7.74	0.00	Mar25	15.51
Tata India Consumer Dir Gr	INF277K013A6	Eternal Ltd	Consumer Cyclical	192.85	7.74	0.00	Apr25	12.51
Tata India Consumer Dir Gr	INF277K013A6	Eternal Ltd	Consumer Cyclical	192.85	7.74	0.00	May25	11.15
