schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	Oct24	5.55
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	Nov24	7.52
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	Dec24	3.56
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	Jan25	5.32
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	Feb25	5.59
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	Apr25	12.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	May25	11.15
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	June25	10.18
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	July25	9.19
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Vedanta Ltd	Basic Materials	5.29	5.23	0.40	Aug25	8.13
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	Oct24	5.55
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	Nov24	7.52
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	Dec24	3.56
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	Jan25	5.32
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	Feb25	5.59
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	Apr25	12.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	May25	11.15
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	June25	10.18
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	July25	9.19
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	TVS Motor Co Ltd	Consumer Cyclical	3.95	3.91	0.39	Aug25	8.13
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	Oct24	5.55
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	Nov24	7.52
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	Dec24	3.56
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	Jan25	5.32
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	Feb25	5.59
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	Apr25	12.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	May25	11.15
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	June25	10.18
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	July25	9.19
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Divi's Laboratories Ltd	Healthcare	3.55	3.51	0.91	Aug25	8.13
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	Oct24	5.55
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	Nov24	7.52
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	Dec24	3.56
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	Jan25	5.32
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	Feb25	5.59
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	Apr25	12.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	May25	11.15
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	June25	10.18
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	July25	9.19
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Bharat Petroleum Corp Ltd	Energy	3.24	3.21	0.40	Aug25	8.13
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	Oct24	5.55
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	Nov24	7.52
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	Dec24	3.56
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	Jan25	5.32
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	Feb25	5.59
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	Apr25	12.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	May25	11.15
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	June25	10.18
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	July25	9.19
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Hindustan Aeronautics Ltd Ordinary Shares	Industrials	3.23	3.19	0.40	Aug25	8.13
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	Oct24	5.55
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	Nov24	7.52
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	Dec24	3.56
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	Jan25	5.32
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	Feb25	5.59
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	Apr25	12.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	May25	11.15
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	June25	10.18
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	July25	9.19
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Cholamandalam Investment and Finance Co Ltd	Financial Services	3.18	3.14	0.40	Aug25	8.13
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	Oct24	5.55
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	Nov24	7.52
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	Dec24	3.56
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	Jan25	5.32
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	Feb25	5.59
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	Apr25	12.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	May25	11.15
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	June25	10.18
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	July25	9.19
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Britannia Industries Ltd	Consumer Defensive	3.08	3.05	1.02	Aug25	8.13
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	Oct24	5.55
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	Nov24	7.52
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	Dec24	3.56
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	Jan25	5.32
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	Feb25	5.59
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	Apr25	12.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	May25	11.15
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	June25	10.18
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	July25	9.19
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Indian Oil Corp Ltd	Energy	3.04	3.00	0.40	Aug25	8.13
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	Oct24	5.55
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	Nov24	7.52
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	Dec24	3.56
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	Jan25	5.32
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	Feb25	5.59
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	Mar25	15.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	Apr25	12.51
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	May25	11.15
LIC MF Nifty Next 50 Index Dir Gr	INF397L01AW2	Tata Power Co Ltd	Utilities	2.76	2.73	0.40	June25	10.18
