schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	Oct24	5.55
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	Nov24	7.52
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	Dec24	3.56
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	Jan25	5.32
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	Feb25	5.59
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	Mar25	15.51
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	Mar25	15.51
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	Apr25	12.51
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	May25	11.15
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	June25	10.18
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	July25	9.19
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	Larsen & Toubro Ltd	Industrials	290.34	5.32	0.00	Aug25	8.13
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	NTPC Ltd	Utilities	269.74	4.94	-1.16	Oct24	5.55
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	NTPC Ltd	Utilities	269.74	4.94	-1.16	Nov24	7.52
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	NTPC Ltd	Utilities	269.74	4.94	-1.16	Dec24	3.56
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	NTPC Ltd	Utilities	269.74	4.94	-1.16	Jan25	5.32
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	NTPC Ltd	Utilities	269.74	4.94	-1.16	Feb25	5.59
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	NTPC Ltd	Utilities	269.74	4.94	-1.16	Mar25	15.51
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	NTPC Ltd	Utilities	269.74	4.94	-1.16	Mar25	15.51
DSP India T.I.G.E.R. Dir Gr	INF740K01PU7	NTPC Ltd	Utilities	269.74	4.94	-1.16	Apr25	12.51
