schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		Oct24	5.55
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		Nov24	7.52
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		Dec24	3.56
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		Jan25	5.32
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		Feb25	5.59
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		Mar25	15.51
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		Mar25	15.51
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		Apr25	12.51
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		May25	11.15
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		June25	10.18
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		July25	9.19
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	Treps / Reverse Repo Investments		254.39	12.79		Aug25	8.13
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	BGF World Energy I2		208.40	10.47	0.00	Oct24	5.55
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	BGF World Energy I2		208.40	10.47	0.00	Nov24	7.52
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	BGF World Energy I2		208.40	10.47	0.00	Dec24	3.56
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	BGF World Energy I2		208.40	10.47	0.00	Jan25	5.32
DSP Nat Res & New Enrgy Dir Gr	INF740K01QA7	BGF World Energy I2		208.40	10.47	0.00	Feb25	5.59
