schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	Oct24	5.55
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	Nov24	7.52
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	Dec24	3.56
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	Jan25	5.32
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	Feb25	5.59
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	Apr25	12.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	May25	11.15
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	June25	10.18
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	July25	9.19
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Tata Steel Ltd	Basic Materials	62.15	2.51	1.21	Aug25	8.13
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	Oct24	5.55
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	Nov24	7.52
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	Dec24	3.56
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	Jan25	5.32
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	Feb25	5.59
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	Apr25	12.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	May25	11.15
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	June25	10.18
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	July25	9.19
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	State Bank of India	Financial Services	61.56	2.49	1.21	Aug25	8.13
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	Oct24	5.55
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	Nov24	7.52
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	Dec24	3.56
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	Jan25	5.32
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	Feb25	5.59
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	Apr25	12.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	May25	11.15
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	June25	10.18
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	July25	9.19
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Oil & Natural Gas Corp Ltd	Energy	59.04	2.39	1.21	Aug25	8.13
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	Oct24	5.55
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	Nov24	7.52
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	Dec24	3.56
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	Jan25	5.32
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	Feb25	5.59
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	Apr25	12.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	May25	11.15
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	June25	10.18
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	July25	9.19
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	NTPC Ltd	Utilities	58.33	2.36	1.21	Aug25	8.13
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	Oct24	5.55
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	Nov24	7.52
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	Dec24	3.56
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	Jan25	5.32
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	Feb25	5.59
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	Apr25	12.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	May25	11.15
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	June25	10.18
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	July25	9.19
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	JSW Steel Ltd	Basic Materials	57.21	2.31	1.21	Aug25	8.13
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	Oct24	5.55
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	Nov24	7.52
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	Dec24	3.56
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	Jan25	5.32
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	Feb25	5.59
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	Apr25	12.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	May25	11.15
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	June25	10.18
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	July25	9.19
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Axis Bank Ltd	Financial Services	55.78	2.26	1.21	Aug25	8.13
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Power Grid Corp Of India Ltd	Utilities	55.70	2.25	1.21	Oct24	5.55
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Power Grid Corp Of India Ltd	Utilities	55.70	2.25	1.21	Nov24	7.52
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Power Grid Corp Of India Ltd	Utilities	55.70	2.25	1.21	Dec24	3.56
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Power Grid Corp Of India Ltd	Utilities	55.70	2.25	1.21	Jan25	5.32
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Power Grid Corp Of India Ltd	Utilities	55.70	2.25	1.21	Feb25	5.59
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Power Grid Corp Of India Ltd	Utilities	55.70	2.25	1.21	Mar25	15.51
DSP Nifty 50 Equal Weight Index Dir Gr	INF740KA1CR7	Power Grid Corp Of India Ltd	Utilities	55.70	2.25	1.21	Mar25	15.51
