schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	Oct24	5.55
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	Nov24	7.52
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	Dec24	3.56
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	Jan25	5.32
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	Feb25	5.59
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	Mar25	15.51
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	Mar25	15.51
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	Apr25	12.51
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	May25	11.15
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	June25	10.18
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	July25	9.19
Edelweiss Large Cap Dir Gr	INF754K01BW4	HDFC Bank Ltd	Financial Services	112.11	7.59	5.63	Aug25	8.13
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	Oct24	5.55
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	Nov24	7.52
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	Dec24	3.56
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	Jan25	5.32
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	Feb25	5.59
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	Mar25	15.51
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	Mar25	15.51
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	Apr25	12.51
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	May25	11.15
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	June25	10.18
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	July25	9.19
Edelweiss Large Cap Dir Gr	INF754K01BW4	ICICI Bank Ltd	Financial Services	97.85	6.63	0.00	Aug25	8.13
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		Oct24	5.55
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		Nov24	7.52
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		Dec24	3.56
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		Jan25	5.32
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		Feb25	5.59
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		Mar25	15.51
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		Mar25	15.51
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		Apr25	12.51
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		May25	11.15
Edelweiss Large Cap Dir Gr	INF754K01BW4	Clearing Corporation Of India Ltd.		90.71	6.14		June25	10.18
