schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	Oct24	5.55
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	Nov24	7.52
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	Dec24	3.56
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	Jan25	5.32
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	Feb25	5.59
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	Mar25	15.51
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	Mar25	15.51
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	Apr25	12.51
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	May25	11.15
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	June25	10.18
Edelweiss MSCI India D&W HC 45 Dir Gr	INF754K01LV5	Sun Pharmaceuticals Industries Ltd	Healthcare	19.68	11.25	-0.66	July25	9.19
