schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		Oct24	5.55
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		Nov24	7.52
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		Dec24	3.56
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		Jan25	5.32
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		Feb25	5.59
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		Apr25	12.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		May25	11.15
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		June25	10.18
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		July25	9.19
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Treps		166.78	12.05		Aug25	8.13
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	Oct24	5.55
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	Nov24	7.52
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	Dec24	3.56
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	Jan25	5.32
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	Feb25	5.59
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	Apr25	12.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	May25	11.15
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	June25	10.18
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	July25	9.19
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	State Bank of India	Financial Services	56.48	4.08	-29.22	Aug25	8.13
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	Oct24	5.55
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	Nov24	7.52
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	Dec24	3.56
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	Jan25	5.32
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	Feb25	5.59
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	Apr25	12.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	May25	11.15
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	June25	10.18
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	July25	9.19
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ICICI Bank Ltd	Financial Services	46.19	3.34	-5.63	Aug25	8.13
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	Oct24	5.55
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	Nov24	7.52
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	Dec24	3.56
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	Jan25	5.32
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	Feb25	5.59
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	Apr25	12.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	May25	11.15
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	June25	10.18
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	July25	9.19
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	HDFC Bank Ltd	Financial Services	45.28	3.27	16.56	Aug25	8.13
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	Oct24	5.55
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	Nov24	7.52
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	Dec24	3.56
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	Jan25	5.32
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	Feb25	5.59
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	Apr25	12.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	May25	11.15
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	June25	10.18
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	July25	9.19
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	Bharti Airtel Ltd	Communication Services	44.16	3.19	0.00	Aug25	8.13
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	Oct24	5.55
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	Nov24	7.52
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	Dec24	3.56
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	Jan25	5.32
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	Feb25	5.59
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	Mar25	15.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	Apr25	12.51
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	May25	11.15
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	June25	10.18
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	July25	9.19
Bank of India ELSS Tax Saver Dir Gr	INF761K01884	ITC Ltd	Consumer Defensive	42.02	3.04	19.64	Aug25	8.13
