schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		Oct24	5.55
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		Nov24	7.52
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		Dec24	3.56
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		Jan25	5.32
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		Feb25	5.59
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		Mar25	15.51
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		Mar25	15.51
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		Apr25	12.51
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		May25	11.15
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		June25	10.18
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		July25	9.19
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Treps		313.61	14.34		Aug25	8.13
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Net Receivables / (Payables)		124.58	5.70		Oct24	5.55
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Net Receivables / (Payables)		124.58	5.70		Nov24	7.52
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Net Receivables / (Payables)		124.58	5.70		Dec24	3.56
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Net Receivables / (Payables)		124.58	5.70		Jan25	5.32
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Net Receivables / (Payables)		124.58	5.70		Feb25	5.59
Bank of India Flexi Cap Fund Dir Gr	INF761K01FF5	Net Receivables / (Payables)		124.58	5.70		Mar25	15.51
