schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	Oct24	5.55
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	Nov24	7.52
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	Dec24	3.56
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	Jan25	5.32
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	Feb25	5.59
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	Mar25	15.51
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	Mar25	15.51
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	Apr25	12.51
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	May25	11.15
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	June25	10.18
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	July25	9.19
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Mahindra & Mahindra Ltd	Consumer Cyclical	318.90	7.13	0.00	Aug25	8.13
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Eternal Ltd	Consumer Cyclical	313.87	7.02	-1.32	Oct24	5.55
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Eternal Ltd	Consumer Cyclical	313.87	7.02	-1.32	Nov24	7.52
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Eternal Ltd	Consumer Cyclical	313.87	7.02	-1.32	Dec24	3.56
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Eternal Ltd	Consumer Cyclical	313.87	7.02	-1.32	Jan25	5.32
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Eternal Ltd	Consumer Cyclical	313.87	7.02	-1.32	Feb25	5.59
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Eternal Ltd	Consumer Cyclical	313.87	7.02	-1.32	Mar25	15.51
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Eternal Ltd	Consumer Cyclical	313.87	7.02	-1.32	Mar25	15.51
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Eternal Ltd	Consumer Cyclical	313.87	7.02	-1.32	Apr25	12.51
Mirae Asset Great Consumer Dir Gr	INF769K01BL5	Eternal Ltd	Consumer Cyclical	313.87	7.02	-1.32	May25	11.15
