schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		June25	10.18
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		July25	9.19
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Clearing Corporation Of India Ltd.		514.69	3.59		Aug25	8.13
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	June25	10.18
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	July25	9.19
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Marico Ltd	Consumer Defensive	348.35	2.43	0.00	Aug25	8.13
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	June25	10.18
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	July25	9.19
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Multi Commodity Exchange of India Ltd	Financial Services	335.45	2.34	0.00	Aug25	8.13
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	June25	10.18
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	July25	9.19
Edelweiss Mid Cap Dir Gr	INF843K01AO4	The Federal Bank Ltd	Financial Services	334.62	2.33	0.00	Aug25	8.13
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	June25	10.18
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	July25	9.19
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Fortis Healthcare Ltd	Healthcare	325.65	2.27	0.00	Aug25	8.13
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	June25	10.18
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	July25	9.19
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Indian Bank	Financial Services	309.09	2.15	0.00	Aug25	8.13
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	June25	10.18
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	July25	9.19
Edelweiss Mid Cap Dir Gr	INF843K01AO4	APL Apollo Tubes Ltd	Basic Materials	287.49	2.00	0.00	Aug25	8.13
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	June25	10.18
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	July25	9.19
Edelweiss Mid Cap Dir Gr	INF843K01AO4	IDFC First Bank Ltd	Financial Services	282.69	1.97	15.64	Aug25	8.13
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	June25	10.18
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	July25	9.19
Edelweiss Mid Cap Dir Gr	INF843K01AO4	Oil India Ltd	Energy	273.95	1.91	4.95	Aug25	8.13
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	Oct24	5.55
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	Nov24	7.52
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	Dec24	3.56
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	Jan25	5.32
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	Feb25	5.59
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	Mar25	15.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	Apr25	12.51
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	May25	11.15
Edelweiss Mid Cap Dir Gr	INF843K01AO4	AU Small Finance Bank Ltd	Financial Services	272.42	1.90	20.51	June25	10.18
