schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	Oct24	5.55
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	Nov24	7.52
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	Dec24	3.56
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	Jan25	5.32
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	Feb25	5.59
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	Apr25	12.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	May25	11.15
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	June25	10.18
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	July25	9.19
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	HDFC Bank Ltd	Financial Services	194.49	6.07	0.00	Aug25	8.13
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	Oct24	5.55
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	Nov24	7.52
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	Dec24	3.56
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	Jan25	5.32
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	Feb25	5.59
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	Apr25	12.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	May25	11.15
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	June25	10.18
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	July25	9.19
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	ICICI Bank Ltd	Financial Services	155.10	4.84	0.00	Aug25	8.13
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		Oct24	5.55
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		Nov24	7.52
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		Dec24	3.56
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		Jan25	5.32
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		Feb25	5.59
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		Apr25	12.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		May25	11.15
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		June25	10.18
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		July25	9.19
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Clearing Corporation Of India Ltd.		114.61	3.58		Aug25	8.13
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	Oct24	5.55
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	Nov24	7.52
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	Dec24	3.56
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	Jan25	5.32
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	Feb25	5.59
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	Apr25	12.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	May25	11.15
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	June25	10.18
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	July25	9.19
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	State Bank of India	Financial Services	111.31	3.48	0.00	Aug25	8.13
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	Oct24	5.55
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	Nov24	7.52
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	Dec24	3.56
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	Jan25	5.32
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	Feb25	5.59
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	Apr25	12.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	May25	11.15
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	June25	10.18
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	July25	9.19
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Reliance Industries Ltd	Energy	110.79	3.46	0.00	Aug25	8.13
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	Oct24	5.55
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	Nov24	7.52
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	Dec24	3.56
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	Jan25	5.32
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	Feb25	5.59
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	Mar25	15.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	Apr25	12.51
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	May25	11.15
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	June25	10.18
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	July25	9.19
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	NTPC Ltd	Utilities	109.02	3.40	29.21	Aug25	8.13
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Larsen & Toubro Ltd	Industrials	103.37	3.23	0.00	Oct24	5.55
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Larsen & Toubro Ltd	Industrials	103.37	3.23	0.00	Nov24	7.52
Edelweiss Flexi Cap Dir Gr	INF843K01KK1	Larsen & Toubro Ltd	Industrials	103.37	3.23	0.00	Dec24	3.56
