schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	Oct24	5.55
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	Nov24	7.52
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	Dec24	3.56
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	Jan25	5.32
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	Feb25	5.59
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	Apr25	12.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	May25	11.15
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	June25	10.18
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	July25	9.19
Parag Parikh Flexi Cap Dir Gr	INF879O01027	HDFC Bank Ltd	Financial Services	10,379.18	7.73	0.86	Aug25	8.13
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	Oct24	5.55
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	Nov24	7.52
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	Dec24	3.56
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	Jan25	5.32
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	Feb25	5.59
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	Apr25	12.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	May25	11.15
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	June25	10.18
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	July25	9.19
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Power Grid Corp Of India Ltd	Utilities	9,291.42	6.92	-0.72	Aug25	8.13
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	Oct24	5.55
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	Nov24	7.52
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	Dec24	3.56
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	Jan25	5.32
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	Feb25	5.59
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	Apr25	12.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	May25	11.15
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	June25	10.18
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	July25	9.19
Parag Parikh Flexi Cap Dir Gr	INF879O01027	Coal India Ltd	Energy	6,951.71	5.18	1.00	Aug25	8.13
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	Oct24	5.55
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	Nov24	7.52
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	Dec24	3.56
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	Jan25	5.32
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	Feb25	5.59
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	Apr25	12.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	May25	11.15
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	June25	10.18
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	July25	9.19
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ICICI Bank Ltd	Financial Services	6,801.46	5.07	0.00	Aug25	8.13
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ITC Ltd	Consumer Defensive	6,761.03	5.04	2.71	Oct24	5.55
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ITC Ltd	Consumer Defensive	6,761.03	5.04	2.71	Nov24	7.52
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ITC Ltd	Consumer Defensive	6,761.03	5.04	2.71	Dec24	3.56
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ITC Ltd	Consumer Defensive	6,761.03	5.04	2.71	Jan25	5.32
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ITC Ltd	Consumer Defensive	6,761.03	5.04	2.71	Feb25	5.59
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ITC Ltd	Consumer Defensive	6,761.03	5.04	2.71	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ITC Ltd	Consumer Defensive	6,761.03	5.04	2.71	Mar25	15.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ITC Ltd	Consumer Defensive	6,761.03	5.04	2.71	Apr25	12.51
Parag Parikh Flexi Cap Dir Gr	INF879O01027	ITC Ltd	Consumer Defensive	6,761.03	5.04	2.71	May25	11.15
