schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	Oct24	5.55
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	Nov24	7.52
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	Dec24	3.56
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	Jan25	5.32
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	Feb25	5.59
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	Mar25	15.51
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	Mar25	15.51
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	Apr25	12.51
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	May25	11.15
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	June25	10.18
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	July25	9.19
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.22	6.62	0.00	Aug25	8.13
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Safari Industries (India) Ltd	Consumer Cyclical	1.77	5.26	0.00	Oct24	5.55
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Safari Industries (India) Ltd	Consumer Cyclical	1.77	5.26	0.00	Nov24	7.52
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Safari Industries (India) Ltd	Consumer Cyclical	1.77	5.26	0.00	Dec24	3.56
Sundaram LT Mic cap Tax Ad Sr IV Dir Gr	INF903JA1526	Safari Industries (India) Ltd	Consumer Cyclical	1.77	5.26	0.00	Jan25	5.32
