schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	Oct24	5.55
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	Nov24	7.52
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	Dec24	3.56
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	Jan25	5.32
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	Feb25	5.59
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	Mar25	15.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	Mar25	15.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	Apr25	12.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	May25	11.15
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	June25	10.18
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	July25	9.19
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Aster DM Healthcare Ltd Ordinary Shares	Healthcare	2.09	6.56	0.00	Aug25	8.13
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	Oct24	5.55
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	Nov24	7.52
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	Dec24	3.56
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	Jan25	5.32
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	Feb25	5.59
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	Mar25	15.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	Mar25	15.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	Apr25	12.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	May25	11.15
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	June25	10.18
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	July25	9.19
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	TVS Holdings Ltd	Consumer Cyclical	1.74	5.45	0.00	Aug25	8.13
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	Oct24	5.55
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	Nov24	7.52
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	Dec24	3.56
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	Jan25	5.32
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	Feb25	5.59
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	Mar25	15.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	Mar25	15.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	Apr25	12.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	May25	11.15
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	June25	10.18
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	July25	9.19
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	Ujjivan Small Finance Bank Ltd Ordinary Shares	Financial Services	1.56	4.90	0.00	Aug25	8.13
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	KSB Ltd	Industrials	1.43	4.48	0.00	Oct24	5.55
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	KSB Ltd	Industrials	1.43	4.48	0.00	Nov24	7.52
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	KSB Ltd	Industrials	1.43	4.48	0.00	Dec24	3.56
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	KSB Ltd	Industrials	1.43	4.48	0.00	Jan25	5.32
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	KSB Ltd	Industrials	1.43	4.48	0.00	Feb25	5.59
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	KSB Ltd	Industrials	1.43	4.48	0.00	Mar25	15.51
Sundaram LT Tax Ad Sr III Dir Gr	INF903JA1BT1	KSB Ltd	Industrials	1.43	4.48	0.00	Mar25	15.51
