schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		Oct24	5.55
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		Nov24	7.52
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		Dec24	3.56
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		Jan25	5.32
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		Feb25	5.59
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		Apr25	12.51
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		May25	11.15
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		June25	10.18
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		July25	9.19
HSBC Value Dir Gr	INF917K01HD4	Treps		879.30	5.96		Aug25	8.13
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	Oct24	5.55
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	Nov24	7.52
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	Dec24	3.56
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	Jan25	5.32
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	Feb25	5.59
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	Apr25	12.51
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	May25	11.15
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	June25	10.18
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	July25	9.19
HSBC Value Dir Gr	INF917K01HD4	State Bank of India	Financial Services	640.85	4.34	0.00	Aug25	8.13
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	Oct24	5.55
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	Nov24	7.52
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	Dec24	3.56
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	Jan25	5.32
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	Feb25	5.59
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	Apr25	12.51
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	May25	11.15
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	June25	10.18
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	July25	9.19
HSBC Value Dir Gr	INF917K01HD4	HDFC Bank Ltd	Financial Services	541.01	3.67	0.00	Aug25	8.13
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	Oct24	5.55
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	Nov24	7.52
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	Dec24	3.56
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	Jan25	5.32
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	Feb25	5.59
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	Apr25	12.51
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	May25	11.15
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	June25	10.18
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	July25	9.19
HSBC Value Dir Gr	INF917K01HD4	Karur Vysya Bank Ltd	Financial Services	515.30	3.49	0.00	Aug25	8.13
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	Oct24	5.55
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	Nov24	7.52
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	Dec24	3.56
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	Jan25	5.32
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	Feb25	5.59
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	Apr25	12.51
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	May25	11.15
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	June25	10.18
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	July25	9.19
HSBC Value Dir Gr	INF917K01HD4	NTPC Ltd	Utilities	492.83	3.34	27.86	Aug25	8.13
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	Oct24	5.55
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	Nov24	7.52
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	Dec24	3.56
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	Jan25	5.32
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	Feb25	5.59
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	Apr25	12.51
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	May25	11.15
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	June25	10.18
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	July25	9.19
HSBC Value Dir Gr	INF917K01HD4	Shriram Finance Ltd	Financial Services	485.03	3.29	0.00	Aug25	8.13
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	Oct24	5.55
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	Nov24	7.52
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	Dec24	3.56
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	Jan25	5.32
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	Feb25	5.59
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	Mar25	15.51
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	Apr25	12.51
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	May25	11.15
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	June25	10.18
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	July25	9.19
HSBC Value Dir Gr	INF917K01HD4	The Federal Bank Ltd	Financial Services	420.79	2.85	0.00	Aug25	8.13
