schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	Oct24	5.55
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	Nov24	7.52
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	Dec24	3.56
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	Jan25	5.32
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	Feb25	5.59
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	Apr25	12.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	May25	11.15
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	June25	10.18
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	July25	9.19
Quant ELSS Tax Saver Dir Gr	INF966L01986	Reliance Industries Ltd	Energy	1,090.20	9.02	0.00	Aug25	8.13
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	Oct24	5.55
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	Nov24	7.52
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	Dec24	3.56
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	Jan25	5.32
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	Feb25	5.59
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	Apr25	12.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	May25	11.15
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	June25	10.18
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	July25	9.19
Quant ELSS Tax Saver Dir Gr	INF966L01986	Larsen & Toubro Ltd	Industrials	1,006.97	8.34	-19.39	Aug25	8.13
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	Oct24	5.55
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	Nov24	7.52
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	Dec24	3.56
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	Jan25	5.32
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	Feb25	5.59
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	Apr25	12.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	May25	11.15
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	June25	10.18
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	July25	9.19
Quant ELSS Tax Saver Dir Gr	INF966L01986	Samvardhana Motherson International Ltd	Consumer Cyclical	1,002.58	8.30	0.00	Aug25	8.13
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	Oct24	5.55
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	Nov24	7.52
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	Dec24	3.56
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	Jan25	5.32
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	Feb25	5.59
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	Apr25	12.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	May25	11.15
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	June25	10.18
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	July25	9.19
Quant ELSS Tax Saver Dir Gr	INF966L01986	Adani Power Ltd	Utilities	874.98	7.24	0.00	Aug25	8.13
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	Oct24	5.55
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	Nov24	7.52
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	Dec24	3.56
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	Jan25	5.32
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	Feb25	5.59
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	Apr25	12.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	May25	11.15
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	June25	10.18
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	July25	9.19
Quant ELSS Tax Saver Dir Gr	INF966L01986	Aurobindo Pharma Ltd	Healthcare	818.93	6.78	0.00	Aug25	8.13
Quant ELSS Tax Saver Dir Gr	INF966L01986	Treps 02-Mar-2026 Depo 10		789.19	6.53		Oct24	5.55
Quant ELSS Tax Saver Dir Gr	INF966L01986	Treps 02-Mar-2026 Depo 10		789.19	6.53		Nov24	7.52
Quant ELSS Tax Saver Dir Gr	INF966L01986	Treps 02-Mar-2026 Depo 10		789.19	6.53		Dec24	3.56
Quant ELSS Tax Saver Dir Gr	INF966L01986	Treps 02-Mar-2026 Depo 10		789.19	6.53		Jan25	5.32
Quant ELSS Tax Saver Dir Gr	INF966L01986	Treps 02-Mar-2026 Depo 10		789.19	6.53		Feb25	5.59
Quant ELSS Tax Saver Dir Gr	INF966L01986	Treps 02-Mar-2026 Depo 10		789.19	6.53		Mar25	15.51
Quant ELSS Tax Saver Dir Gr	INF966L01986	Treps 02-Mar-2026 Depo 10		789.19	6.53		Mar25	15.51
