isin	schemeName	invCategory	rating	abs_score	tier	CV	s10Y	s5Y	s3Y	s_stab
INF769K01HH0	Mirae Asset NYSE FANG+ ETF FoF Dir Gr	Global - Other		68.34	C	29.5898637908559			100.0	56.14035087719298
INF740K01OZ9	DSP Wld Gld Mng Ovrs Eq Omni FoF Dir Gr	Global - Other		76.33	A	82.60492451321338	96.15384615384616	100.0	98.24561403508771	19.298245614035086
INF769K01HR9	Mirae Asset S&P 500 Top50 ETF FoF Dir Gr	Global - Other		79.97	C	6.2990824683472155			96.49122807017544	96.49122807017544
INF109KC1Z55	ICICI Pru Strat Mt & En EqFoF Dir Gr	Global - Other		57.58	C	60.23547907438013			94.73684210526315	31.57894736842105
INF200K01UY4	SBI PSU Dir Gr	Equity - Other		80.98	A	45.591960255122245	64.70588235294117	100.0	100.0	88.67924528301887
INF247L01718	Motilal Oswal Nasdaq 100 Fd of Fd Dir Gr	Global - Other		80.28	B	21.16410232740874		97.2972972972973	92.98245614035088	73.68421052631578
INF247L01BF2	Motilal Oswal BSE Enh Val Idx Dir Gr	Index Funds		82.11	C	63.71353588809494			100.0	97.70114942528735
INF769K01IS5	Mirae Ast Glb X Art Int&Tch ETF FoF DrGr	Global - Other		73.86	C	14.032165673313141			91.22807017543859	85.96491228070175
INF174KA1FQ7	Kotak US Specific Equity Pasv FOF Dir Gr	Global - Other		75.33	B	23.15227212426725		91.8918918918919	89.47368421052632	68.42105263157895
INF205K01NG5	Invesco India PSU Equity Dir Gr	Equity - Other		87.14	A	52.04109240536763	94.11764705882352	91.17647058823529	98.11320754716981	79.24528301886792
INF194KB1AL4	Bandhan Small Cap Dir Gr	Small-Cap	5.0	79.41	B	83.16956047598701		95.65217391304348	100.0	60.0
INF209KB18C5	Aditya BSL US Equity Pasv FOF Dir Gr	Global - Other		73.28	C	11.522524868021565			87.71929824561403	89.47368421052632
INF209KB1O82	Aditya BSL PSU Equity Dir Gr	Equity - Other		81.69	B	53.12977887942994		97.05882352941177	96.22641509433963	77.35849056603774
INF109KC1U50	ICICI Pru NASDAQ 100 Index Dir Gr	Global - Other		73.57	C	10.14455460485727			85.96491228070175	92.98245614035088
INF846K012K9	Axis NASDAQ 100 FoF Dir Gr	Global - Other		72.12	C	11.466596451673745			84.21052631578947	91.22807017543859
INF109KC12I5	ICICI Prudential PSU Equity Dir Gr	Equity - Other		62.55	C	92.33367216726927			94.33962264150944	47.16981132075472
INF205KA1585	Invesco Ind InvcEQQQNASDAQ100 ETFFoFDrGr	Global - Other		67.75	C	18.18175819964759			82.45614035087719	80.7017543859649
INF754K01LB7	Edelweiss US Technology Equity FoF DirGr	Global - Other		54.25	B	35.30213344250283		64.86486486486487	80.7017543859649	50.877192982456144
INF959L01FZ1	Navi Nasdaq100 US Spcfc Eq Pasv FOFDirGr	Global - Other		68.34	C	13.629809452809727			78.94736842105263	87.71929824561403
INF109KC1GH2	ICICI Pru Pharma Healthcare Diag Dir Gr	Sector - Healthcare		61.96	B	81.14020940818779		88.88888888888889	100.0	40.0
INF767K01GW5	LIC MF Infrastructure Dir Gr	Equity - Infrastructure	4.0	73.33	A	52.32757641010768	66.66666666666666	77.77777777777779	100.0	77.77777777777779
INF174K019S9	Kotak India Growth Ser 4 Dir Gr	Large-Cap		92.62	B	38.63343329848527		100.0	100.0	100.0
INF200K01UP2	SBI Healthcare Opportunities Dir Gr	Sector - Healthcare		73.12	A	67.32948693947301	50.0	100.0	90.0	80.0
INF109KC16J4	ICICI Pru Nifty Auto Index Dir Gr	Index Funds		81.92	C	49.40957725191374			98.85057471264368	98.85057471264368
INF090I01JF5	Franklin Build India Dir Gr	Equity - Infrastructure	5.0	86.92	A	54.54430457445733	88.88888888888889	83.33333333333334	94.44444444444444	72.22222222222221
INF200KA1U28	SBI US Specific Eq Actv FoF Dir Gr	Global - Other		63.72	B	39.7667342753964		89.1891891891892	77.19298245614034	43.859649122807014
INF769K01ED6	Mirae Asset Healthcare Dir Gr	Sector - Healthcare		77.14	B	64.42648348582524		77.77777777777779	80.0	90.0
INF789F01TO9	UTI Healthcare Dir Gr	Sector - Healthcare		41.98	A	67.56403054753153	25.0	44.44444444444444	70.0	70.0
INF03VN01597	WhiteOak Capital Mid Cap Dir Gr	Mid-Cap	5.0	67.09	C	80.66713014223055			100.0	37.93103448275862
INF109KC12K1	ICICI Pru Trsptn & Logistics Dir Gr	Equity - Other		69.11	C	58.349788608503005			92.45283018867924	69.81132075471697
INF090I01GC8	Franklin India Opportunities Dir Gr	Equity - Other		67.8	A	72.93150334150484	70.58823529411765	73.52941176470588	90.56603773584906	62.264150943396224
INF194KB1CF2	Bandhan US Spcfc Eq Act FOF Dir Gr	Global - Other		70.66	C	2.0701341498543413			75.43859649122807	100.0
INF761K01702	Bank of India Manfactrg &Infra Dir Gr	Equity - Infrastructure	5.0	92.75	A	30.145118025223333	100.0	66.66666666666666	86.11111111111111	100.0
INF740K01QA7	DSP Nat Res & New Enrgy Dir Gr	Equity - Other		91.48	A	9.850213886111144	100.0	82.35294117647058	88.67924528301887	100.0
INF740K01PU7	DSP India T.I.G.E.R. Dir Gr	Equity - Infrastructure	4.0	85.0	A	48.61924313203526	77.77777777777779	94.44444444444444	86.11111111111111	83.33333333333334
INF109KC1FX1	ICICI Pru BHARAT 22 FOF Dir Gr	Equity - Other		83.34	B	46.76442583536564		94.11764705882352	86.79245283018868	84.90566037735849
INF740KA1QP1	DSP Glb Innovt Ovs Eq Omni FoF Dir Gr	Global - Other		69.21	C	3.7074640118246105			73.68421052631578	98.24561403508771
INF209KB1O25	Aditya BSL Pharma & Hlthcare Dir Gr	Sector - Healthcare		36.33	B	70.2763872864987		22.22222222222222	60.0	60.0
INF205K01MV6	Invesco India Mid Cap Dir Gr	Mid-Cap	5.0	87.4	A	54.48397802219284	95.0	80.0	96.55172413793103	68.96551724137932
INF204K01I92	Nippon India Power & Infra Dir Gr	Equity - Other		82.0	A	58.118836325830415	88.23529411764706	88.23529411764706	84.90566037735849	71.69811320754717
INF760K01FO9	Canara Robeco Infrastructure Dir Gr	Equity - Infrastructure	4.0	77.78	A	46.63111761809643	61.111111111111114	88.88888888888889	77.77777777777779	88.88888888888889
INF204K01E54	Nippon India Growth Mid Cap Dir Gr	Mid-Cap	5.0	91.35	A	53.63481875669495	90.0	94.0	93.10344827586206	72.41379310344827
INF109K011N7	ICICI Pru MidCap Dir Gr	Mid-Cap	4.0	76.2	A	26.833801408451276	65.0	72.0	89.65517241379311	100.0
INF843K01AO4	Edelweiss Mid Cap Dir Gr	Mid-Cap	5.0	95.16	A	52.73097940813488	100.0	88.0	86.20689655172413	79.3103448275862
INF917K01FZ1	HSBC Midcap Dir Gr	Mid-Cap	4.0	70.34	A	36.115366053887946	70.0	52.0	82.75862068965517	96.55172413793103
INF179K01WQ2	HDFC Infrastructure Dir Gr	Equity - Infrastructure	3.0	35.36	A	84.67105368429606	5.555555555555555	72.22222222222221	72.22222222222221	38.88888888888889
INF740K01PF8	DSP Wld Mng Ovrs Eq Omni FoF Dir Gr	Global - Other		74.7	A	88.04604836779696	100.0	94.5945945945946	71.9298245614035	14.035087719298245
INF204K01I50	Nippon India Pharma Dir Gr	Sector - Healthcare		82.33	A	59.95948180787225	100.0	55.55555555555556	50.0	100.0
INF740K01OH7	DSP US Specific Eq Omni FoF Dir Gr	Global - Other		74.49	A	48.769211617191644	92.3076923076923	86.48648648648648	70.17543859649122	36.84210526315789
INF174V01507	Mahindra Manulife Mid Cap Dir Gr	Mid-Cap	5.0	67.75	B	69.31404943658605		84.0	79.3103448275862	48.275862068965516
INF109KC1LJ8	ICICI Pru Manufacturing Dir Gr	Equity - Other		72.77	B	51.857705539005735		76.47058823529412	83.01886792452831	81.13207547169812
INF277K019A3	Tata India Pharma & Healthcare Dir Gr	Sector - Healthcare		64.19	A	75.60008507050789	75.0	66.66666666666666	40.0	50.0
INF194KB1EB7	Bandhan Trsptn and Logistics Dir Gr	Equity - Other		70.99	C	39.69930599104995			81.13207547169812	92.45283018867924
INF247L01AG2	Motilal Oswal S&P 500 Index Dir Gr	Global - Other		69.01	B	23.987900998348493		83.78378378378379	68.42105263157895	63.1578947368421
INF109KC11M9	ICICI Pru Nfty Phrm Idx Dir Gr	Index Funds		78.68	C	86.93607451415343			97.70114942528735	90.80459770114942
INF174V01BK7	Mahindra Manulife Small Cap Dir Gr	Small-Cap	5.0	55.69	C	123.496344829453			96.0	12.0
INF179K01XQ0	HDFC Mid Cap Dir Gr	Mid-Cap	5.0	89.87	A	49.386910878464306	80.0	94.0	74.13793103448276	82.75862068965517
INF903J01MJ3	Sundaram Mid Cap Dir Gr	Mid-Cap	4.0	54.18	A	54.51215531061975	35.0	68.0	74.13793103448276	65.51724137931035
INF789F01SH5	UTI Transportation & Logistics Dir Gr	Equity - Other		59.01	A	36.08768425562604	29.411764705882355	70.58823529411765	79.24528301886792	96.22641509433963
INF00XX01747	ITI Small Cap Dir Gr	Small-Cap	3.0	32.98	B	91.91370585676158		30.434782608695656	92.0	44.0
INF179KC1BO4	HDFC Dev Wld Ovrs Eq Pasv FoF Dir Gr	Global - Other		60.48	C	16.419708027552783			66.66666666666666	82.45614035087719
INF00XX01929	ITI Mid Cap Dir Gr	Mid-Cap	4.0	38.59	B	79.4831480236028		40.0	68.96551724137932	41.37931034482759
INF247L01999	Motilal Oswal Large & Midcap Dir Gr	Large & Mid-Cap	5.0	82.49	B	72.63474070701659		100.0	100.0	61.53846153846154
INF223J01NL0	PGIM India Em Mkts Equity FoF Dir Gr	Global - Other		11.67	A	77.53561159595625	3.8461538461538463	13.513513513513514	64.91228070175438	22.807017543859647
INF174KA1HV3	Kotak Multicap Dir Gr	Multi-Cap	5.0	74.22	C	103.06980200346285			100.0	57.89473684210527
INF194K01V89	Bandhan Large & Mid Cap Dir Gr	Large & Mid-Cap	5.0	96.03	A	59.660606470196086	95.0	92.3076923076923	96.15384615384616	84.61538461538461
INF740KA1LG1	DSP Healthcare Fund Dir Gr	Sector - Healthcare		29.49	B	109.58605631423781		33.33333333333333	30.0	30.0
INF205K013T3	Invesco India Smallcap Dir Gr	Small-Cap	5.0	78.23	B	79.21162610100671		86.95652173913044	88.0	68.0
INF846K013H3	Axis Nifty Smallcap 50 Index Dir Gr	Index Funds		60.2	C	188.33480774460318			96.55172413793103	36.7816091954023
INF959L01FV0	Navi Ttl Stck Mrkt US SpcfcEqPsvFoFDirGr	Global - Other		59.32	C	16.071917877885678			63.1578947368421	84.21052631578947
INF209KB1W17	Aditya BSL Nifty SmCp 50 Idx Dir Gr	Index Funds		59.25	C	192.03854447842897			95.40229885057471	35.63218390804598
INF205K01MA0	Invesco India large& mid cap Dir Gr	Large & Mid-Cap	5.0	85.66	A	65.8722477333155	90.0	80.76923076923077	92.3076923076923	69.23076923076923
INF579M01AI2	360 ONE Quant Dir Gr	Equity - Other		45.97	C	172.52682078055406			77.35849056603774	22.641509433962266
INF192K01MV6	JM Midcap Dir Gr	Mid-Cap	4.0	34.59	C	167.2510893139523			65.51724137931035	3.4482758620689653
INF336L01BY4	HSBC Brazil Dir Gr	Global - Other		23.16	A	96.27163198373995	7.6923076923076925	54.054054054054056	61.40350877192983	7.017543859649122
INF247L01569	Motilal Oswal ELSS Tax Saver Dir Gr	ELSS (Tax Savings)	4.0	89.01	A	61.51779491990476	93.54838709677419	82.97872340425532	100.0	90.19607843137256
INF397L01LK4	LIC MF Healthcare Dir Gr	Sector - Healthcare		14.0	B	111.89380216172687		11.11111111111111	20.0	20.0
INF109K018M4	ICICI Pru Infrastructure Dir Gr	Equity - Infrastructure	5.0	86.33	A	71.51267973485439	83.33333333333334	100.0	66.66666666666666	55.55555555555556
INF846K010C0	Axis Value Dir Gr	Value	5.0	64.82	C	115.17201127372203			100.0	31.57894736842105
INF843K01GI3	Edelweiss Europe Dyn Eq Offshore Dir Gr	Global - Other		59.25	A	44.26779553436157	55.769230769230774	81.08108108108108	59.64912280701754	40.35087719298245
INF959L01GD6	Navi Nifty Ind Manufacturing Idx Dir Gr	Index Funds		78.87	C	65.74895407507131			94.25287356321839	96.55172413793103
INF903J01F92	Sundaram Infrastructure Adv Dir Gr	Equity - Infrastructure	3.0	44.33	A	44.10539678391658	33.33333333333333	27.77777777777778	61.111111111111114	94.44444444444444
INF336L01CJ3	HSBC Global Emerging Markets Dir Gr	Global - Other		34.13	A	77.22232477271824	46.15384615384615	29.72972972972973	57.89473684210527	24.561403508771928
INF846K019H0	Axis Nifty Midcap 50 Index Dir Gr	Index Funds		74.97	C	104.03611543108147			92.52873563218391	87.35632183908046
INF754K01LV5	Edelweiss MSCI India D&W HC 45 Dir Gr	Index Funds		87.26	B	46.82219651421596		89.47368421052632	92.52873563218391	100.0
