schemeName	isin	stock_name	sector	market_value	weight	change_1m	period	weightage
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		Oct24	5.55
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		Nov24	7.52
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		Dec24	3.56
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		Jan25	5.32
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		Feb25	5.59
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		Apr25	12.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		May25	11.15
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		June25	10.18
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		July25	9.19
HDFC Mid Cap Dir Gr	INF179K01XQ0	Treps - Tri-Party Repo		5,872.96	6.23		Aug25	8.13
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	Oct24	5.55
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	Nov24	7.52
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	Dec24	3.56
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	Jan25	5.32
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	Feb25	5.59
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	Apr25	12.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	May25	11.15
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	June25	10.18
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	July25	9.19
HDFC Mid Cap Dir Gr	INF179K01XQ0	Max Financial Services Ltd	Financial Services	4,677.28	4.96	0.00	Aug25	8.13
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	Oct24	5.55
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	Nov24	7.52
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	Dec24	3.56
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	Jan25	5.32
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	Feb25	5.59
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	Apr25	12.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	May25	11.15
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	June25	10.18
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	July25	9.19
HDFC Mid Cap Dir Gr	INF179K01XQ0	The Federal Bank Ltd	Financial Services	3,832.83	4.07	0.00	Aug25	8.13
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	Oct24	5.55
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	Nov24	7.52
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	Dec24	3.56
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	Jan25	5.32
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	Feb25	5.59
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	Apr25	12.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	May25	11.15
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	June25	10.18
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	July25	9.19
HDFC Mid Cap Dir Gr	INF179K01XQ0	AU Small Finance Bank Ltd	Financial Services	3,766.42	4.00	0.00	Aug25	8.13
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	Oct24	5.55
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	Nov24	7.52
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	Dec24	3.56
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	Jan25	5.32
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	Feb25	5.59
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	Mar25	15.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	Apr25	12.51
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	May25	11.15
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	June25	10.18
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	July25	9.19
HDFC Mid Cap Dir Gr	INF179K01XQ0	Indian Bank	Financial Services	3,650.44	3.87	0.00	Aug25	8.13
HDFC Mid Cap Dir Gr	INF179K01XQ0	Balkrishna Industries Ltd	Consumer Cyclical	3,185.31	3.38	1.04	Oct24	5.55
