Fund	Category	tier	Crisil	Peer Score	Univ Score	s_10Y	s_5Y	s_3Y	s_risk_adjusted	s_consistency	isin	Alloc %
HDFC Mid Cap Dir Gr	Mid-Cap	A	5.0	69.3	89.74507640067912	40.0	90.0	20.0	100.0	40.0	INF179K01XQ0	11.5
Edelweiss Mid Cap Dir Gr	Mid-Cap	A	5.0	69.32	88.00543293718165	100.0	60.0	40.0	64.0	80.0	INF843K01AO4	11.3
Bandhan Small Cap Dir Gr	Small-Cap	B	5.0	85.30829959514172	85.30829959514172		97.36842105263158	100.0	81.11842105263159	44.73684210526316	INF194KB1AL4	10.9
Invesco India Mid Cap Dir Gr	Mid-Cap	A	5.0	54.24	82.49057724957554	80.0	40.0	100.0	33.0	60.0	INF205K01MV6	10.6
ICICI Pru MidCap Dir Gr	Mid-Cap	A	4.0	37.96	78.27342954159593	20.0	20.0	60.0	27.0	100.0	INF109K011N7	10.0
Nippon India Small Cap Dir Gr	Small-Cap	A	5.0	77.21052631578948	77.21052631578948	100.0	94.73684210526315	57.89473684210527	74.34210526315789	34.21052631578947	INF204K01K15	9.9
Motilal Oswal Large & Midcap Dir Gr	Large & Mid-Cap	B	5.0	79.8	71.24898785425101		100.0	100.0	60.0	40.0	INF247L01999	9.1
Bandhan Large & Mid Cap Dir Gr	Large & Mid-Cap	A	5.0	75.35161290322581	70.12266553480475	58.06451612903226	60.0	80.0	87.5	100.0	INF194K01V89	9.0
HDFC Flexi Cap Dir Gr	Flexi Cap	A	5.0	81.58967741935484	69.88862478777588	48.38709677419355	100.0	80.0	96.0	60.0	INF179K01UT0	8.9
HSBC Value Dir Gr	Value	A	5.0	68.8332767402377	68.8332767402377	53.2258064516129	60.526315789473685	73.68421052631578	77.5	84.21052631578947	INF917K01HD4	8.8
