annualized3Y	fundCode	invCategory	invType	isin	ltd	mc30	rank	rating	risk	schemeCode	schemeName	schemePlan	sipReturns	slug_url	trailingReturns	updatedDate	yearlyReturns
47.94	0C0000BRKM	Global - Other	Equity	INF769K01HH0	2026-03-29T18:30:00.000Z	False			Very High Risk	FS0000GRQM	Mirae Asset NYSE FANG+ ETF FoF Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 6.22, ""absoluteReturn"": 3.43}, {""frequency"": ""2Y"", ""annualisedReturn"": 26.72, ""absoluteReturn"": 33.22}, {""frequency"": ""3Y"", ""annualisedReturn"": 38.29, ""absoluteReturn"": 88.46}, {""frequency"": ""5Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	mirae-asset-nyse-fang+-etf-fof-direct-plan-/MMA215	"[{""frequency"": ""1W"", ""annualisedReturn"": -0.62, ""absoluteReturn"": -0.62}, {""frequency"": ""1M"", ""annualisedReturn"": 0.96, ""absoluteReturn"": 0.96}, {""frequency"": ""3M"", ""annualisedReturn"": -7.76, ""absoluteReturn"": -7.76}, {""frequency"": ""6M"", ""annualisedReturn"": -7.15, ""absoluteReturn"": -7.15}, {""frequency"": ""YTD"", ""annualisedReturn"": -7.28, ""absoluteReturn"": -7.28}, {""frequency"": ""1Y"", ""annualisedReturn"": 31.35, ""absoluteReturn"": 31.35}, {""frequency"": ""2Y"", ""annualisedReturn"": 33.82, ""absoluteReturn"": 79.09}, {""frequency"": ""3Y"", ""annualisedReturn"": 47.94, ""absoluteReturn"": 223.77}, {""frequency"": ""5Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 27.96, ""absoluteReturn"": 233.85}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": null}, {""frequency"": ""2021"", ""value"": null}, {""frequency"": ""2022"", ""value"": -32.92}, {""frequency"": ""2023"", ""value"": 93.16}, {""frequency"": ""2024"", ""value"": 86.6}, {""frequency"": ""2025"", ""value"": 24.16}, {""frequency"": ""2026"", ""value"": -7.28}]"
47.18	0C0000CX2H	Global - Other	Equity	INF740K01OZ9	2026-03-29T18:30:00.000Z	False			Very High Risk	FSUSA08GUT	DSP Wld Gld Mng Ovrs Eq Omni FoF Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 241.27, ""absoluteReturn"": 298.79}, {""frequency"": ""2Y"", ""annualisedReturn"": 142.14, ""absoluteReturn"": 438.33}, {""frequency"": ""3Y"", ""annualisedReturn"": 97.61, ""absoluteReturn"": 479.68}, {""frequency"": ""5Y"", ""annualisedReturn"": 56.47, ""absoluteReturn"": 448.27}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	dsp-world-gold-fund-of-fund-direct-plan-growth/MDS594	"[{""frequency"": ""1W"", ""annualisedReturn"": 3.89, ""absoluteReturn"": 3.89}, {""frequency"": ""1M"", ""annualisedReturn"": -20.89, ""absoluteReturn"": -20.89}, {""frequency"": ""3M"", ""annualisedReturn"": 3.94, ""absoluteReturn"": 3.94}, {""frequency"": ""6M"", ""annualisedReturn"": 24.36, ""absoluteReturn"": 24.36}, {""frequency"": ""YTD"", ""annualisedReturn"": 4.16, ""absoluteReturn"": 4.16}, {""frequency"": ""1Y"", ""annualisedReturn"": 111.94, ""absoluteReturn"": 111.94}, {""frequency"": ""2Y"", ""annualisedReturn"": 79.04, ""absoluteReturn"": 220.54}, {""frequency"": ""3Y"", ""annualisedReturn"": 47.18, ""absoluteReturn"": 218.8}, {""frequency"": ""5Y"", ""annualisedReturn"": 27.71, ""absoluteReturn"": 239.71}, {""frequency"": ""10Y"", ""annualisedReturn"": 17.93, ""absoluteReturn"": 420.4}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 9.55, ""absoluteReturn"": 234.68}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 32.06}, {""frequency"": ""2021"", ""value"": -8.37}, {""frequency"": ""2022"", ""value"": -7.01}, {""frequency"": ""2023"", ""value"": 7.63}, {""frequency"": ""2024"", ""value"": 16.71}, {""frequency"": ""2025"", ""value"": 168.91}, {""frequency"": ""2026"", ""value"": 4.16}]"
34	0C0000BRKM	Global - Other	Equity	INF769K01HR9	2026-03-29T18:30:00.000Z	False			Very High Risk	FS0000H3CO	Mirae Asset S&P 500 Top50 ETF FoF Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 30.19, ""absoluteReturn"": 17.96}, {""frequency"": ""2Y"", ""annualisedReturn"": 31.33, ""absoluteReturn"": 40.21}, {""frequency"": ""3Y"", ""annualisedReturn"": 34.66, ""absoluteReturn"": 76.85}, {""frequency"": ""5Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	mirae-asset-s-p-500-top-50-etf-fof-direct-plan-/MMA224	"[{""frequency"": ""1W"", ""annualisedReturn"": 1.24, ""absoluteReturn"": 1.24}, {""frequency"": ""1M"", ""annualisedReturn"": -3.42, ""absoluteReturn"": -3.42}, {""frequency"": ""3M"", ""annualisedReturn"": -6.24, ""absoluteReturn"": -6.24}, {""frequency"": ""6M"", ""annualisedReturn"": -0.46, ""absoluteReturn"": -0.46}, {""frequency"": ""YTD"", ""annualisedReturn"": -4.86, ""absoluteReturn"": -4.86}, {""frequency"": ""1Y"", ""annualisedReturn"": 37.17, ""absoluteReturn"": 37.17}, {""frequency"": ""2Y"", ""annualisedReturn"": 29.71, ""absoluteReturn"": 68.25}, {""frequency"": ""3Y"", ""annualisedReturn"": 34, ""absoluteReturn"": 140.63}, {""frequency"": ""5Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 21.65, ""absoluteReturn"": 142.53}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": null}, {""frequency"": ""2021"", ""value"": null}, {""frequency"": ""2022"", ""value"": -16.26}, {""frequency"": ""2023"", ""value"": 36.35}, {""frequency"": ""2024"", ""value"": 64.81}, {""frequency"": ""2025"", ""value"": 22.1}, {""frequency"": ""2026"", ""value"": -4.86}]"
32.9	0C0000953D	Global - Other	Equity	INF109KC1Z55	2026-03-29T18:30:00.000Z	False			Very High Risk	FS0000HDC0	ICICI Pru Strat Mt & En EqFoF Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 130.53, ""absoluteReturn"": 108.32}, {""frequency"": ""2Y"", ""annualisedReturn"": 72.82, ""absoluteReturn"": 126.65}, {""frequency"": ""3Y"", ""annualisedReturn"": 51.76, ""absoluteReturn"": 140.04}, {""frequency"": ""5Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	icici-prudential-strategic-metal-and-energy-equity-fund-of-fund-direct-plan/MPI4563	"[{""frequency"": ""1W"", ""annualisedReturn"": 5.18, ""absoluteReturn"": 5.18}, {""frequency"": ""1M"", ""annualisedReturn"": 1.44, ""absoluteReturn"": 1.44}, {""frequency"": ""3M"", ""annualisedReturn"": 29.54, ""absoluteReturn"": 29.54}, {""frequency"": ""6M"", ""annualisedReturn"": 43.43, ""absoluteReturn"": 43.43}, {""frequency"": ""YTD"", ""annualisedReturn"": 30.72, ""absoluteReturn"": 30.72}, {""frequency"": ""1Y"", ""annualisedReturn"": 81.72, ""absoluteReturn"": 81.72}, {""frequency"": ""2Y"", ""annualisedReturn"": 46.15, ""absoluteReturn"": 113.6}, {""frequency"": ""3Y"", ""annualisedReturn"": 32.9, ""absoluteReturn"": 134.71}, {""frequency"": ""5Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 31.9, ""absoluteReturn"": 216.41}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": null}, {""frequency"": ""2021"", ""value"": null}, {""frequency"": ""2022"", ""value"": null}, {""frequency"": ""2023"", ""value"": 4.46}, {""frequency"": ""2024"", ""value"": 4.98}, {""frequency"": ""2025"", ""value"": 67.36}, {""frequency"": ""2026"", ""value"": 30.72}]"
31.15	0C00003HJY	Equity - Other	Equity	INF200K01UY4	2026-03-30T18:30:00.000Z	False			Very High Risk	FSUSA0AVE7	SBI PSU Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 33.49, ""absoluteReturn"": 20.13}, {""frequency"": ""2Y"", ""annualisedReturn"": 17.66, ""absoluteReturn"": 20.65}, {""frequency"": ""3Y"", ""annualisedReturn"": 26.43, ""absoluteReturn"": 53.51}, {""frequency"": ""5Y"", ""annualisedReturn"": 29.98, ""absoluteReturn"": 132.17}, {""frequency"": ""10Y"", ""annualisedReturn"": 21.17, ""absoluteReturn"": 243.9}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	sbi-psu-fund-direct-plan/MSB495	"[{""frequency"": ""1W"", ""annualisedReturn"": -0.68, ""absoluteReturn"": -0.68}, {""frequency"": ""1M"", ""annualisedReturn"": -11.83, ""absoluteReturn"": -11.83}, {""frequency"": ""3M"", ""annualisedReturn"": -1.92, ""absoluteReturn"": -1.92}, {""frequency"": ""6M"", ""annualisedReturn"": 1.72, ""absoluteReturn"": 1.72}, {""frequency"": ""YTD"", ""annualisedReturn"": -3.33, ""absoluteReturn"": -3.33}, {""frequency"": ""1Y"", ""annualisedReturn"": 10.45, ""absoluteReturn"": 10.45}, {""frequency"": ""2Y"", ""annualisedReturn"": 8.78, ""absoluteReturn"": 18.34}, {""frequency"": ""3Y"", ""annualisedReturn"": 31.15, ""absoluteReturn"": 125.6}, {""frequency"": ""5Y"", ""annualisedReturn"": 26.72, ""absoluteReturn"": 226.79}, {""frequency"": ""10Y"", ""annualisedReturn"": 15.7, ""absoluteReturn"": 329.68}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 11.69, ""absoluteReturn"": 332.51}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": -9.41}, {""frequency"": ""2021"", ""value"": 33.77}, {""frequency"": ""2022"", ""value"": 30.41}, {""frequency"": ""2023"", ""value"": 55.74}, {""frequency"": ""2024"", ""value"": 24.87}, {""frequency"": ""2025"", ""value"": 12.43}, {""frequency"": ""2026"", ""value"": -3.33}]"
29.86	0C0000563U	Global - Other	Equity	INF247L01718	2026-03-30T18:30:00.000Z	False			Very High Risk	FS0000E2R3	Motilal Oswal Nasdaq 100 Fd of Fd Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 19.18, ""absoluteReturn"": 11.02}, {""frequency"": ""2Y"", ""annualisedReturn"": 21.34, ""absoluteReturn"": 25.57}, {""frequency"": ""3Y"", ""annualisedReturn"": 25.25, ""absoluteReturn"": 50.46}, {""frequency"": ""5Y"", ""annualisedReturn"": 22.77, ""absoluteReturn"": 86.96}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	motilal-oswal-nasdaq-100-fund-of-fund-direct-plan/MMO048	"[{""frequency"": ""1W"", ""annualisedReturn"": 1.4, ""absoluteReturn"": 1.4}, {""frequency"": ""1M"", ""annualisedReturn"": 2.81, ""absoluteReturn"": 2.81}, {""frequency"": ""3M"", ""annualisedReturn"": -0.1, ""absoluteReturn"": -0.1}, {""frequency"": ""6M"", ""annualisedReturn"": 3.96, ""absoluteReturn"": 3.96}, {""frequency"": ""YTD"", ""annualisedReturn"": -0.1, ""absoluteReturn"": -0.1}, {""frequency"": ""1Y"", ""annualisedReturn"": 27.22, ""absoluteReturn"": 27.22}, {""frequency"": ""2Y"", ""annualisedReturn"": 23.83, ""absoluteReturn"": 53.33}, {""frequency"": ""3Y"", ""annualisedReturn"": 29.86, ""absoluteReturn"": 118.97}, {""frequency"": ""5Y"", ""annualisedReturn"": 19.47, ""absoluteReturn"": 143.34}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 24.15, ""absoluteReturn"": 389.32}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 51.37}, {""frequency"": ""2021"", ""value"": 28.99}, {""frequency"": ""2022"", ""value"": -25.9}, {""frequency"": ""2023"", ""value"": 53.05}, {""frequency"": ""2024"", ""value"": 55.73}, {""frequency"": ""2025"", ""value"": 7.72}, {""frequency"": ""2026"", ""value"": -0.1}]"
29.83	0C0000563U	Index Funds	Equity	INF247L01BF2	2026-03-30T18:30:00.000Z	False			Very High Risk	FS0000HRR4	Motilal Oswal BSE Enh Val Idx Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 42.96, ""absoluteReturn"": 26.62}, {""frequency"": ""2Y"", ""annualisedReturn"": 22.73, ""absoluteReturn"": 27.51}, {""frequency"": ""3Y"", ""annualisedReturn"": 29.47, ""absoluteReturn"": 61.67}, {""frequency"": ""5Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	motilal-oswal-bse-enhanced-value-index-fund-direct-plan-growth/MMO109	"[{""frequency"": ""1W"", ""annualisedReturn"": -1.69, ""absoluteReturn"": -1.69}, {""frequency"": ""1M"", ""annualisedReturn"": -16.81, ""absoluteReturn"": -16.81}, {""frequency"": ""3M"", ""annualisedReturn"": -9.69, ""absoluteReturn"": -9.69}, {""frequency"": ""6M"", ""annualisedReturn"": -0.55, ""absoluteReturn"": -0.55}, {""frequency"": ""YTD"", ""annualisedReturn"": -9.69, ""absoluteReturn"": -9.69}, {""frequency"": ""1Y"", ""annualisedReturn"": 11.3, ""absoluteReturn"": 11.3}, {""frequency"": ""2Y"", ""annualisedReturn"": 7.47, ""absoluteReturn"": 15.51}, {""frequency"": ""3Y"", ""annualisedReturn"": 29.83, ""absoluteReturn"": 118.82}, {""frequency"": ""5Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 29.84, ""absoluteReturn"": 156.69}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": null}, {""frequency"": ""2021"", ""value"": null}, {""frequency"": ""2022"", ""value"": null}, {""frequency"": ""2023"", ""value"": 60.38}, {""frequency"": ""2024"", ""value"": 19.95}, {""frequency"": ""2025"", ""value"": 21.74}, {""frequency"": ""2026"", ""value"": -9.69}]"
28.96	0C0000BRKM	Global - Other	Equity	INF769K01IS5	2026-03-29T18:30:00.000Z	False			Very High Risk	FS0000HSH5	Mirae Ast Glb X Art Int&Tch ETF FoF DrGr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 34.54, ""absoluteReturn"": 20.83}, {""frequency"": ""2Y"", ""annualisedReturn"": 32.17, ""absoluteReturn"": 41.53}, {""frequency"": ""3Y"", ""annualisedReturn"": 31.82, ""absoluteReturn"": 68.35}, {""frequency"": ""5Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	mirae-asset-global-x-artificial-intelligence-technology-etf-fof-direct-plan/MMA242	"[{""frequency"": ""1W"", ""annualisedReturn"": -6.95, ""absoluteReturn"": -6.95}, {""frequency"": ""1M"", ""annualisedReturn"": -7.28, ""absoluteReturn"": -7.28}, {""frequency"": ""3M"", ""annualisedReturn"": -8.28, ""absoluteReturn"": -8.28}, {""frequency"": ""6M"", ""annualisedReturn"": -3.37, ""absoluteReturn"": -3.37}, {""frequency"": ""YTD"", ""annualisedReturn"": -7.36, ""absoluteReturn"": -7.36}, {""frequency"": ""1Y"", ""annualisedReturn"": 35.34, ""absoluteReturn"": 35.34}, {""frequency"": ""2Y"", ""annualisedReturn"": 22.22, ""absoluteReturn"": 49.39}, {""frequency"": ""3Y"", ""annualisedReturn"": 28.96, ""absoluteReturn"": 114.45}, {""frequency"": ""5Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 29.25, ""absoluteReturn"": 149.9}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": null}, {""frequency"": ""2021"", ""value"": null}, {""frequency"": ""2022"", ""value"": null}, {""frequency"": ""2023"", ""value"": 55.55}, {""frequency"": ""2024"", ""value"": 27.58}, {""frequency"": ""2025"", ""value"": 38.05}, {""frequency"": ""2026"", ""value"": -7.36}]"
28.58	0C00001P1X	Global - Other	Equity	INF174KA1FQ7	2026-03-29T18:30:00.000Z	False			Very High Risk	FS0000GK0O	Kotak US Specific Equity Pasv FOF Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 26.62, ""absoluteReturn"": 15.66}, {""frequency"": ""2Y"", ""annualisedReturn"": 24.15, ""absoluteReturn"": 29.5}, {""frequency"": ""3Y"", ""annualisedReturn"": 26.09, ""absoluteReturn"": 52.62}, {""frequency"": ""5Y"", ""annualisedReturn"": 23.08, ""absoluteReturn"": 88.71}, {""frequency"": ""10Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	kotak-nasdaq-100-fund-of-fund-direct-plan/MKM1363	"[{""frequency"": ""1W"", ""annualisedReturn"": -3.26, ""absoluteReturn"": -3.26}, {""frequency"": ""1M"", ""annualisedReturn"": -3.23, ""absoluteReturn"": -3.23}, {""frequency"": ""3M"", ""annualisedReturn"": -4.45, ""absoluteReturn"": -4.45}, {""frequency"": ""6M"", ""annualisedReturn"": 0.7, ""absoluteReturn"": 0.7}, {""frequency"": ""YTD"", ""annualisedReturn"": -3.9, ""absoluteReturn"": -3.9}, {""frequency"": ""1Y"", ""annualisedReturn"": 28.64, ""absoluteReturn"": 28.64}, {""frequency"": ""2Y"", ""annualisedReturn"": 20.26, ""absoluteReturn"": 44.62}, {""frequency"": ""3Y"", ""annualisedReturn"": 28.58, ""absoluteReturn"": 112.58}, {""frequency"": ""5Y"", ""annualisedReturn"": 18.49, ""absoluteReturn"": 133.53}, {""frequency"": ""10Y"", ""annualisedReturn"": null, ""absoluteReturn"": null}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 16.89, ""absoluteReturn"": 123.07}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": null}, {""frequency"": ""2021"", ""value"": null}, {""frequency"": ""2022"", ""value"": -26.54}, {""frequency"": ""2023"", ""value"": 58.36}, {""frequency"": ""2024"", ""value"": 28.69}, {""frequency"": ""2025"", ""value"": 26.11}, {""frequency"": ""2026"", ""value"": -3.9}]"
28.13	0C00008KJ3	Equity - Other	Equity	INF205K01NG5	2026-03-30T18:30:00.000Z	False			Very High Risk	FSUSA0A8H1	Invesco India PSU Equity Dir Gr	Direct Plan	"[{""frequency"": ""1Y"", ""annualisedReturn"": 17.62, ""absoluteReturn"": 10.08}, {""frequency"": ""2Y"", ""annualisedReturn"": 10.7, ""absoluteReturn"": 11.95}, {""frequency"": ""3Y"", ""annualisedReturn"": 21.58, ""absoluteReturn"": 41.47}, {""frequency"": ""5Y"", ""annualisedReturn"": 26.8, ""absoluteReturn"": 110.84}, {""frequency"": ""10Y"", ""annualisedReturn"": 21.9, ""absoluteReturn"": 260.81}, {""frequency"": ""15Y"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 0, ""absoluteReturn"": 0}]"	invesco-india-psu-equity-fund-direct-plan/MLI552	"[{""frequency"": ""1W"", ""annualisedReturn"": -1.69, ""absoluteReturn"": -1.69}, {""frequency"": ""1M"", ""annualisedReturn"": -12.17, ""absoluteReturn"": -12.17}, {""frequency"": ""3M"", ""annualisedReturn"": -7.79, ""absoluteReturn"": -7.79}, {""frequency"": ""6M"", ""annualisedReturn"": -5.18, ""absoluteReturn"": -5.18}, {""frequency"": ""YTD"", ""annualisedReturn"": -9.18, ""absoluteReturn"": -9.18}, {""frequency"": ""1Y"", ""annualisedReturn"": 5.49, ""absoluteReturn"": 5.49}, {""frequency"": ""2Y"", ""annualisedReturn"": 5.74, ""absoluteReturn"": 11.8}, {""frequency"": ""3Y"", ""annualisedReturn"": 28.13, ""absoluteReturn"": 110.35}, {""frequency"": ""5Y"", ""annualisedReturn"": 24.4, ""absoluteReturn"": 197.92}, {""frequency"": ""10Y"", ""annualisedReturn"": 18.27, ""absoluteReturn"": 435.55}, {""frequency"": ""INCEPTION"", ""annualisedReturn"": 15.78, ""absoluteReturn"": 596.53}]"	2026-04-01	"[{""frequency"": ""2020"", ""value"": 7.17}, {""frequency"": ""2021"", ""value"": 32.94}, {""frequency"": ""2022"", ""value"": 22.23}, {""frequency"": ""2023"", ""value"": 56.64}, {""frequency"": ""2024"", ""value"": 27.29}, {""frequency"": ""2025"", ""value"": 11.65}, {""frequency"": ""2026"", ""value"": -9.18}]"
