Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
DSP Natural Resources and New Energy Fund - Direct Plan - Growth	Direct Plan	Sectoral/Thematic	5	1,989.64	-1%	-2%	10%	17%	6%	32%	16%	25%	22%	21%
Edelweiss Mid Cap Fund - Direct Plan - Growth	Direct Plan	Mid Cap Fund	5	14,355.22	-3%	-6%	-5%	-3%	-6%	18%	15%	26%	21%	20%
Bank of India Manufacturing & Infrastructure Fund - Direct Plan - Growth	Direct Plan	Sectoral/Thematic	5	689.06	-1%	-4%	-1%	2%	-3%	23%	13%	25%	22%	20%
HDFC Mid Cap Fund - Direct Plan - Growth	Direct Plan	Mid Cap Fund	4	94,256.90	-3%	-6%	-5%	-2%	-6%	17%	11%	24%	21%	20%
Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth	Direct Plan	ELSS	4	26,202.62	-4%	-8%	-8%	-5%	-9%	11%	8%	16%	14%	19%
Parag Parikh Flexi Cap Fund - Direct Plan - Growth	Direct Plan	Flexi Cap Fund	5	134,253.17	-2%	-4%	-5%	-4%	-6%	7%	10%	20%	18%	19%
LIC MF Infrastructure Fund - Direct Plan - Growth	Direct Plan	Sectoral/Thematic	4	1,006.68	-1%	-4%	0%	-2%	-2%	20%	17%	29%	24%	18%
Canara Robeco Infrastructure - Direct Plan - Growth	Direct Plan	Sectoral/Thematic	4	933.71	-1%	-1%	3%	0%	2%	20%	15%	27%	24%	18%
ICICI Prudential MidCap Fund - Direct Plan - Growth	Direct Plan	Mid Cap Fund	4	7,280.38	-3%	-6%	-1%	3%	-3%	26%	15%	25%	20%	18%
Kotak Contra Fund - Direct Plan - Growth	Direct Plan	Contra Fund	4	5,224.68	-3%	-7%	-6%	-3%	-7%	14%	8%	20%	17%	18%
HDFC Flexi Cap Fund - Direct Plan - Growth	Direct Plan	Flexi Cap Fund	5	100,455.32	-4%	-8%	-7%	-4%	-7%	10%	10%	20%	19%	18%
Bandhan Large & Mid Cap Fund - Direct Plan - Growth	Direct Plan	Large & Mid Cap Fund	5	14,780.40	-3%	-6%	-6%	-3%	-7%	14%	11%	23%	19%	18%
Kotak Infrastructure and Economic Reform Fund - Direct Plan - Growth	Direct Plan	Sectoral/Thematic	4	2,339.33	-3%	-5%	-3%	-4%	-4%	17%	8%	19%	21%	18%
DSP ELSS Tax Saver Fund - Direct Plan - Growth	Direct Plan	ELSS	4	17,249.79	-4%	-8%	-7%	-4%	-8%	8%	9%	19%	16%	17%
ICICI Prudential Large & Mid Cap Fund- Direct Plan - Growth	Direct Plan	Large & Mid Cap Fund	5	28,505.90	-3%	-7%	-6%	-4%	-7%	11%	10%	20%	19%	17%
SBI Infrastructure Fund - Direct Plan - Growth	Direct Plan	Sectoral/Thematic	4	4,645.50	-3%	-6%	-6%	-3%	-6%	7%	3%	20%	19%	17%
ICICI Prudential Focused Equity Fund - Direct Plan - Growth	Direct Plan	Focused Fund	5	15,145.40	-5%	-10%	-10%	-6%	-10%	13%	11%	22%	18%	17%
Edelweiss Flexi Cap Fund - Direct Plan - Growth	Direct Plan	Flexi Cap Fund	5	3,202.75	-4%	-7%	-6%	-3%	-8%	12%	9%	19%	16%	17%
JM ELSS Tax Saver Fund - Direct Plan - Growth	Direct Plan	ELSS	4	217.28	-3%	-8%	-11%	-8%	-11%	6%	7%	18%	15%	17%
ICICI Prudential Value Fund - Direct Plan - Growth	Direct Plan	Value Fund	5	60,571.34	-3%	-6%	-7%	-3%	-7%	10%	9%	19%	19%	17%
HDFC Focused Fund - Direct Plan - Growth	Direct Plan	Focused Fund	5	27,136.20	-5%	-8%	-7%	-5%	-7%	9%	11%	20%	21%	17%
Sundaram Mid Cap Fund - Direct Plan - Growth	Direct Plan	Mid Cap Fund	4	13,235.50	-3%	-7%	-6%	-3%	-6%	17%	12%	24%	19%	17%
Edelweiss Large and Mid Cap Fund - Direct Plan - Growth	Direct Plan	Large & Mid Cap Fund	4	4,485.43	-3%	-6%	-6%	-3%	-7%	13%	10%	19%	16%	17%
SBI Large & Midcap Fund - Direct Plan - Growth	Direct Plan	Large & Mid Cap Fund	4	38,765.94	-3%	-6%	-4%	-1%	-5%	15%	11%	18%	17%	17%
ICICI Prudential Multicap Fund - Direct Plan - Growth	Direct Plan	Multi Cap Fund	4	16,315.09	-2%	-6%	-3%	-3%	-5%	10%	8%	20%	17%	16%
Franklin India Mid Cap Fund - Direct - Growth	Direct Plan	Mid Cap Fund	4	12,327.87	-3%	-7%	-8%	-7%	-9%	9%	10%	20%	16%	16%
Nippon India Large Cap Fund - Direct Plan - Growth	Direct Plan	Large Cap Fund	4	51,403.80	-4%	-7%	-8%	-6%	-8%	10%	7%	18%	17%	16%
SBI Focused Fund - Direct Plan - Growth	Direct Plan	Focused Fund	5	43,310.54	-3%	-6%	-6%	0%	-6%	15%	13%	19%	14%	16%
SBI ELSS Tax Saver Fund - Direct Plan - Growth	Direct Plan	ELSS	5	32,171.48	-4%	-7%	-7%	-5%	-8%	7%	7%	22%	18%	16%
Canara Robeco Flexi Cap Fund - Direct Plan - Growth	Direct Plan	Flexi Cap Fund	4	13,389.89	-4%	-8%	-8%	-7%	-8%	9%	7%	15%	13%	16%
Aditya Birla Sun Life Consumption Fund - Direct Plan - Growth	Direct Plan	Sectoral/Thematic	4	6,184.16	-5%	-10%	-11%	-12%	-11%	4%	5%	14%	13%	16%
Sundaram Small Cap Fund - Direct Plan - Growth	Direct Plan	Small Cap Fund	4	3,306.19	-2%	-8%	-7%	-8%	-8%	13%	7%	19%	18%	16%
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan - Growth	Direct Plan	Flexi Cap Fund	4	25,206.60	-3%	-7%	-6%	-2%	-7%	13%	9%	18%	14%	16%
ICICI Prudential Large Cap Fund - Direct Plan - Growth	Direct Plan	Large Cap Fund	5	77,451.59	-4%	-7%	-8%	-5%	-8%	8%	6%	17%	15%	16%
HDFC Value Fund - Direct Plan - Growth	Direct Plan	Value Fund	4	7,413.03	-4%	-8%	-7%	-3%	-7%	13%	9%	19%	16%	16%
HDFC ELSS Tax saver - Direct Plan - Growth	Direct Plan	ELSS	5	16,618.14	-5%	-9%	-9%	-7%	-9%	8%	7%	19%	18%	16%
ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth	Direct Plan	ELSS	4	14,352.51	-4%	-7%	-8%	-6%	-8%	9%	7%	16%	13%	15%
