Scheme Name	Plan	Category Name	Crisil Rating	AuM (Cr)	1W	1M	3M	6M	YTD	1Y	2Y	3Y	5Y	10Y
Kotak India Growth Ser 4 Dir Gr	Direct Plan	Large Cap Fund			0.22%	3.57%	16.53%	23.58%	4.86%	50.25%	26.55%	25.97%	28.13%	
Nippon India Large Cap Dir Gr	Direct Plan	Large Cap Fund	5.0		-0.76%	-11.47%	-12.56%	-9.72%	-13.18%	-1.53%	2.98%	16.29%	15.88%	14.93%
WhiteOak Capital Large Cap Dir Gr	Direct Plan	Large Cap Fund	4.0		-0.30%	-10.26%	-12.30%	-8.34%	-12.89%	-1.41%	5.05%	16.25%		
DSP Large cap Dir Gr	Direct Plan	Large Cap Fund	3.0		-0.49%	-10.82%	-12.29%	-8.92%	-12.95%	-4.64%	5.04%	15.55%	11.62%	12.11%
Invesco India largecap Dir Gr	Direct Plan	Large Cap Fund	5.0		-0.04%	-11.12%	-12.88%	-10.29%	-13.49%	-1.83%	3.34%	15.44%	13.00%	13.56%
Bandhan Large Cap Dir Gr	Direct Plan	Large Cap Fund	5.0		-0.78%	-10.93%	-12.62%	-8.11%	-13.33%	-1.22%	3.64%	15.26%	12.02%	13.32%
ICICI Prudential Large Cap Dir Gr	Direct Plan	Large Cap Fund	5.0		-0.47%	-10.91%	-12.77%	-8.74%	-13.42%	-2.41%	2.50%	15.16%	13.72%	14.58%
Bank of India Large Cap Dir Gr	Direct Plan	Large Cap Fund	4.0		-0.89%	-11.42%	-10.56%	-6.39%	-11.27%	1.62%	0.39%	15.12%		
Quant Large Cap Dir Gr	Direct Plan	Large Cap Fund	4.0		-0.97%	-12.52%	-13.73%	-11.48%	-14.24%	-3.86%	-2.73%	14.25%		
Taurus Largecap Equity Dir Gr	Direct Plan	Large Cap Fund	2.0		-1.39%	-9.09%	-10.78%	-6.93%	-11.47%	-1.39%	1.04%	14.13%	10.36%	10.20%
Baroda BNP P Large Cap Dir Gr	Direct Plan	Large Cap Fund	5.0		-0.84%	-10.95%	-11.38%	-7.34%	-12.03%	-2.84%	1.53%	14.05%	12.18%	13.49%
Franklin India Large Cap Dir Gr	Direct Plan	Large Cap Fund	2.0		-0.94%	-7.78%	-11.07%	-6.11%	-11.07%	-0.21%	4.55%	13.70%	10.77%	11.63%
JM Large Cap Dir Gr	Direct Plan	Large Cap Fund	5.0		-0.63%	-11.40%	-12.71%	-8.45%	-13.44%	-2.73%	-0.74%	13.54%	11.71%	11.63%
Kotak Large Cap Dir Gr	Direct Plan	Large Cap Fund	5.0		-0.74%	-11.54%	-12.59%	-8.59%	-13.23%	-1.86%	3.52%	13.38%	11.56%	13.43%
