event_start,direction,magnitude_pct,pre_days,price_broke_monthly_high,price_broke_monthly_low,volume_spike,rsi_divergence,price_above_sma50,price_below_sma50,atr_expansion,monthly_context
2021-03-25,up,10.055666161581636,7,0,0,1,1,0,0,0,end
2021-08-05,up,11.099791336291778,7,0,1,1,0,0,1,0,start
2021-08-06,up,11.075292001996138,7,0,1,1,1,0,1,0,mid
2021-08-09,up,10.421443504272778,7,0,1,1,1,0,1,0,mid
2021-08-10,up,11.050469050398004,7,0,1,1,0,0,1,0,mid
2021-08-11,up,11.543876699186384,7,0,0,1,0,0,1,0,mid
2021-08-12,up,11.940390595889111,7,0,0,1,0,0,1,0,mid
2021-08-13,up,11.77792970863148,7,0,0,0,0,0,1,0,mid
2021-08-16,up,12.269213969363843,7,0,0,0,0,0,1,0,mid
2021-08-17,up,10.02898837398218,7,0,0,0,0,1,0,0,mid
2021-08-18,up,12.670681451416677,7,0,0,0,0,1,0,0,mid
2022-02-17,down,12.482939870920868,7,0,0,0,1,0,1,0,mid
2022-02-18,down,15.939110531869522,7,0,0,0,0,0,1,0,mid
2022-02-21,down,15.068855403139713,7,0,0,0,0,0,1,0,mid
2022-02-22,down,11.984848275018408,7,0,0,0,0,0,1,0,mid
2022-03-24,up,10.117508081116656,7,0,0,1,0,0,1,0,mid
2022-03-25,up,11.779317208876837,7,0,0,1,0,0,1,0,end
2022-05-09,up,12.43240654214138,7,0,1,1,0,1,0,0,mid
2022-06-22,up,13.416709860271975,7,0,0,1,0,1,0,0,mid
2022-06-29,up,11.83372278589302,7,0,0,0,0,1,0,0,end
2022-06-30,up,11.978827912352392,7,0,0,0,1,1,0,0,end
2022-07-01,up,12.53751731086838,7,0,0,0,0,1,0,0,start
2025-07-01,up,10.0805957145393,7,0,0,1,1,0,1,0,start
