start_date,end_date,direction,magnitude_pct,duration_days
2021-03-25,2021-04-12,up,10.055666161581637,10
2021-08-05,2021-08-20,up,11.099791336291778,10
2021-08-06,2021-08-23,up,11.075292001996138,10
2021-08-09,2021-08-24,up,10.421443504272778,10
2021-08-10,2021-08-25,up,11.050469050398005,10
2021-08-11,2021-08-26,up,11.543876699186384,10
2021-08-12,2021-08-27,up,11.940390595889111,10
2021-08-13,2021-08-30,up,11.777929708631481,10
2021-08-16,2021-08-31,up,12.269213969363845,10
2021-08-17,2021-09-01,up,10.028988373982179,10
2021-08-18,2021-09-02,up,12.670681451416677,10
2022-02-17,2022-03-04,down,12.482939870920868,10
2022-02-18,2022-03-07,down,15.939110531869522,10
2022-02-21,2022-03-08,down,15.068855403139711,10
2022-02-22,2022-03-09,down,11.984848275018408,10
2022-03-24,2022-04-07,up,10.117508081116657,10
2022-03-25,2022-04-08,up,11.779317208876835,10
2022-05-09,2022-05-23,up,12.432406542141381,10
2022-06-22,2022-07-06,up,13.416709860271977,10
2022-06-29,2022-07-13,up,11.83372278589302,10
2022-06-30,2022-07-14,up,11.978827912352392,10
2022-07-01,2022-07-15,up,12.537517310868381,10
2025-07-01,2025-07-15,up,10.080595714539301,10
